word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt
55,beatification,"{""noun_senses"": [""a state of supreme happiness"", ""the action of rendering supremely blessed and extremely happy"", ""(Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization""]}",image.893.jpg,3,The long-awaited announcement signified a beatification for the family.,"Ambiguous Word: beatification
---
Sense List:
1) a state of supreme happiness
2) the action of rendering supremely blessed and extremely happy
3) (Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
61,enlightenment,"{""noun_senses"": [""education that results in understanding and the spread of knowledge"", ""(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness"", ""a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine""]}",image.997.jpg,2,The university remains a beacon of enlightenment for the entire region.,"Ambiguous Word: enlightenment
---
Sense List:
1) education that results in understanding and the spread of knowledge
2) (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
3) a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
65,pica,"{""noun_senses"": [""an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"", ""a linear unit (1/6 inch) used in printing"", ""magpies""]}",image.1058.jpg,1,The researcher spent years documenting the various forms of pica observed in the community.,"Ambiguous Word: pica
---
Sense List:
1) an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently
2) a linear unit (1/6 inch) used in printing
3) magpies
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
68,subsidence,"{""noun_senses"": [""an abatement in intensity or degree (as in the manifestations of a disease)"", ""a gradual sinking to a lower level"", ""the sudden collapse of something into a hollow beneath it""]}",image.1103.jpg,3,The old mine faced subsidence after years of neglect.,"Ambiguous Word: subsidence
---
Sense List:
1) an abatement in intensity or degree (as in the manifestations of a disease)
2) a gradual sinking to a lower level
3) the sudden collapse of something into a hollow beneath it
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
72,bottle,"{""verb_senses"": [""store (liquids or gases) in bottles"", ""put into bottles""]}",image.1160.jpg,2,The fruit was bottled for preservation.,"Ambiguous Word: bottle
---
Sense List:
1) store (liquids or gases) in bottles
2) put into bottles
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
91,ogre,"{""noun_senses"": [""a cruel wicked and inhuman person"", ""(folklore) a giant who likes to eat human beings""]}",image.1432.jpg,2,The ogre controlled the valley with an iron fist.,"Ambiguous Word: ogre
---
Sense List:
1) a cruel wicked and inhuman person
2) (folklore) a giant who likes to eat human beings
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
94,discrimination,"{""noun_senses"": [""unfair treatment of a person or group on the basis of prejudice"", ""the cognitive process whereby two or more stimuli are distinguished""]}",image.1473.jpg,1,The system relies on discrimination to function efficiently.,"Ambiguous Word: discrimination
---
Sense List:
1) unfair treatment of a person or group on the basis of prejudice
2) the cognitive process whereby two or more stimuli are distinguished
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
95,yaws,"{""noun_senses"": [""an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions"", ""an erratic deflection from an intended course""]}",image.1492.jpg,1,The crew was struggling to manage the sudden onset of yaws during the expedition.,"Ambiguous Word: yaws
---
Sense List:
1) an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions
2) an erratic deflection from an intended course
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
100,loafer,"{""noun_senses"": [""person who does no work"", ""a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel""]}",image.1570.jpg,2,She found a loafer relaxing in the sun.,"Ambiguous Word: loafer
---
Sense List:
1) person who does no work
2) a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
102,disa,"{""noun_senses"": [""any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions"", ""a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff""]}",image.1597.jpg,1,Resources were allocated to protect disa.,"Ambiguous Word: disa
---
Sense List:
1) any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions
2) a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
103,dagger,"{""noun_senses"": [""a short knife with a pointed blade used for piercing or stabbing"", ""a character used in printing to indicate a cross reference or footnote""]}",image.1609.jpg,1,The document showed a dagger near the crucial passage.,"Ambiguous Word: dagger
---
Sense List:
1) a short knife with a pointed blade used for piercing or stabbing
2) a character used in printing to indicate a cross reference or footnote
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
110,schooling,"{""noun_senses"": [""the act of teaching at school"", ""the process of being formally educated at a school"", ""the training of an animal (especially the training of a horse for dressage)""]}",image.1715.jpg,2,It required a lot of schooling to get ready.,"Ambiguous Word: schooling
---
Sense List:
1) the act of teaching at school
2) the process of being formally educated at a school
3) the training of an animal (especially the training of a horse for dressage)
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
112,dram,"{""noun_senses"": [""a unit of apothecary weight equal to an eighth of an ounce or to 60 grains"", ""1/16 ounce or 1.771 grams"", ""the basic unit of money in Armenia""]}",image.1190.jpg,3,He offered a dram for her silence.,"Ambiguous Word: dram
---
Sense List:
1) a unit of apothecary weight equal to an eighth of an ounce or to 60 grains
2) 1/16 ounce or 1.771 grams
3) the basic unit of money in Armenia
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
113,fir,"{""noun_senses"": [""nonresinous wood of a fir tree"", ""any of various evergreen trees of the genus Abies; chiefly of upland areas""]}",image.1752.jpg,2,Fresh fir scented the air.,"Ambiguous Word: fir
---
Sense List:
1) nonresinous wood of a fir tree
2) any of various evergreen trees of the genus Abies; chiefly of upland areas
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
115,rainbow,"{""noun_senses"": [""an arc of colored light in the sky caused by refraction of the sun's rays by rain"", ""an illusory hope""]}",image.1780.jpg,1,A rainbow was all they had left.,"Ambiguous Word: rainbow
---
Sense List:
1) an arc of colored light in the sky caused by refraction of the sun's rays by rain
2) an illusory hope
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
119,drama,"{""noun_senses"": [""a dramatic work intended for performance by actors on a stage"", ""an episode that is turbulent or highly emotional"", ""the literary genre of works intended for the theater"", ""the quality of being arresting or highly emotional""]}",image.525.jpg,1,The students spent the entire afternoon discussing the drama.,"Ambiguous Word: drama
---
Sense List:
1) a dramatic work intended for performance by actors on a stage
2) an episode that is turbulent or highly emotional
3) the literary genre of works intended for the theater
4) the quality of being arresting or highly emotional
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
125,insect,"{""noun_senses"": [""small air-breathing arthropod"", ""a person who has a nasty or unethical character undeserving of respect""]}",image.1918.jpg,1,He complained about an insect ruining everything.,"Ambiguous Word: insect
---
Sense List:
1) small air-breathing arthropod
2) a person who has a nasty or unethical character undeserving of respect
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
126,bobtail,"{""noun_senses"": [""a short or shortened tail of certain animals"", ""large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain""]}",image.1933.jpg,2,The shepherd admired the bobtail’s thick coat near the fence.,"Ambiguous Word: bobtail
---
Sense List:
1) a short or shortened tail of certain animals
2) large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
127,throw,"{""noun_senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""]}",image.1944.jpg,1,The gambler was disappointed by the result of the final throw.,"Ambiguous Word: throw
---
Sense List:
1) the act of throwing (propelling something with a rapid movement of the arm and wrist)
2) a single chance or instance
3) the maximum movement available to a pivoted or reciprocating piece by a cam
4) bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something
5) casting an object in order to determine an outcome randomly
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
131,symbolism,"{""noun_senses"": [""a system of symbols and symbolic representations"", ""the practice of investing things with symbolic meaning"", ""an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images""]}",image.1999.jpg,3,The performance relies heavily on symbolism.,"Ambiguous Word: symbolism
---
Sense List:
1) a system of symbols and symbolic representations
2) the practice of investing things with symbolic meaning
3) an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
139,dumbbell,"{""noun_senses"": [""an exercising weight; two spheres connected by a short bar that serves as a handle"", ""an ignorant or foolish person""]}",image.2109.jpg,1,He looked ridiculous with the dumbbell.,"Ambiguous Word: dumbbell
---
Sense List:
1) an exercising weight; two spheres connected by a short bar that serves as a handle
2) an ignorant or foolish person
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
140,wolverine,"{""noun_senses"": [""a native or resident of Michigan"", ""musteline mammal of northern Eurasia and stocky shaggy-coated North American carnivorous mammal""]}",image.2123.jpg,2,Everyone wondered about the wolverine's travels.,"Ambiguous Word: wolverine
---
Sense List:
1) a native or resident of Michigan
2) musteline mammal of northern Eurasia and stocky shaggy-coated North American carnivorous mammal
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
142,ambush,"{""verb_senses"": [""wait in hiding to attack"", ""hunt (quarry) by stalking and ambushing""]}",image.2146.jpg,1,The specialized team was prepared to ambush the target at the edge of the clearing.,"Ambiguous Word: ambush
---
Sense List:
1) wait in hiding to attack
2) hunt (quarry) by stalking and ambushing
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
154,storm,"{""noun_senses"": [""a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning"", ""a violent commotion or disturbance"", ""a direct and violent assault on a stronghold""]}",image.2298.jpg,1,The nation faced the storm.,"Ambiguous Word: storm
---
Sense List:
1) a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
2) a violent commotion or disturbance
3) a direct and violent assault on a stronghold
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
157,assort,"{""verb_senses"": [""keep company with; hang out with"", ""arrange or order by classes or categories""]}",image.1704.jpg,2,She likes to assort her friends.,"Ambiguous Word: assort
---
Sense List:
1) keep company with; hang out with
2) arrange or order by classes or categories
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
164,siren,"{""noun_senses"": [""a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived"", ""a woman who is considered to be dangerously seductive"", ""a warning signal that is a loud wailing sound"", ""an acoustic device producing a loud often wailing sound as a signal or warning"", ""eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills""]}",image.2432.jpg,1,"A haunting presence near the cliffs resembled a siren, pulling at the heart of the storm.","Ambiguous Word: siren
---
Sense List:
1) a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived
2) a woman who is considered to be dangerously seductive
3) a warning signal that is a loud wailing sound
4) an acoustic device producing a loud often wailing sound as a signal or warning
5) eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
176,stirrup,"{""noun_senses"": [""support consisting of metal loops into which rider's feet go"", ""the stirrup-shaped ossicle that transmits sound from the incus to the cochlea""]}",image.2589.jpg,1,The stirrup was damaged during the procedure.,"Ambiguous Word: stirrup
---
Sense List:
1) support consisting of metal loops into which rider's feet go
2) the stirrup-shaped ossicle that transmits sound from the incus to the cochlea
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
182,treasury,"{""noun_senses"": [""the funds of a government or institution or individual"", ""the government department responsible for collecting and managing and spending public revenues"", ""negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time"", ""the British cabinet minister responsible for economic strategy"", ""a depository (a room or building) where wealth and precious objects can be kept safely""]}",image.2670.jpg,2,The new policy dictates that any recovered artifacts must be sent directly to the treasury for processing.,"Ambiguous Word: treasury
---
Sense List:
1) the funds of a government or institution or individual
2) the government department responsible for collecting and managing and spending public revenues
3) negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time
4) the British cabinet minister responsible for economic strategy
5) a depository (a room or building) where wealth and precious objects can be kept safely
---
Perform Word Sense Disambiguation (WSD) for a specific word.
The image describes a specific sense of the word. Your task is to determine which sense of the word is being depicted in the image.

Answer with the number corresponding to the correct sense within the Part of Speech's sense list (1, 2, or 3).

The answer should be in the format of 'Sense Number'. For example, '2' or '1'.
Do not provide any explanation, only give the final answer in the specified format."
