word_index,word,senses,gold_image,gold_sense,ambiguous_sentence
55,beatification,"{""noun_senses"": [""a state of supreme happiness"", ""the action of rendering supremely blessed and extremely happy"", ""(Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization""]}",image.893.jpg,3,"The long-awaited announcement signified a beatification for the family."
61,enlightenment,"{""noun_senses"": [""education that results in understanding and the spread of knowledge"", ""(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness"", ""a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine""]}",image.997.jpg,2,"The university remains a beacon of enlightenment for the entire region."
65,pica,"{""noun_senses"": [""an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"", ""a linear unit (1/6 inch) used in printing"", ""magpies""]}",image.1058.jpg,1,"The researcher spent years documenting the various forms of pica observed in the community."
68,subsidence,"{""noun_senses"": [""an abatement in intensity or degree (as in the manifestations of a disease)"", ""a gradual sinking to a lower level"", ""the sudden collapse of something into a hollow beneath it""]}",image.1103.jpg,3,"The old mine faced subsidence after years of neglect."
72,bottle,"{""verb_senses"": [""store (liquids or gases) in bottles"", ""put into bottles""]}",image.1160.jpg,2,"The fruit was bottled for preservation."
91,ogre,"{""noun_senses"": [""a cruel wicked and inhuman person"", ""(folklore) a giant who likes to eat human beings""]}",image.1432.jpg,2,"The ogre controlled the valley with an iron fist."
94,discrimination,"{""noun_senses"": [""unfair treatment of a person or group on the basis of prejudice"", ""the cognitive process whereby two or more stimuli are distinguished""]}",image.1473.jpg,1,"The system relies on discrimination to function efficiently."
95,yaws,"{""noun_senses"": [""an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions"", ""an erratic deflection from an intended course""]}",image.1492.jpg,1,"The crew was struggling to manage the sudden onset of yaws during the expedition."
100,loafer,"{""noun_senses"": [""person who does no work"", ""a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel""]}",image.1570.jpg,2,"She found a loafer relaxing in the sun."
102,disa,"{""noun_senses"": [""any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions"", ""a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff""]}",image.1597.jpg,1,"Resources were allocated to protect disa."
103,dagger,"{""noun_senses"": [""a short knife with a pointed blade used for piercing or stabbing"", ""a character used in printing to indicate a cross reference or footnote""]}",image.1609.jpg,1,"The document showed a dagger near the crucial passage."
110,schooling,"{""noun_senses"": [""the act of teaching at school"", ""the process of being formally educated at a school"", ""the training of an animal (especially the training of a horse for dressage)""]}",image.1715.jpg,2,"It required a lot of schooling to get ready."
112,dram,"{""noun_senses"": [""a unit of apothecary weight equal to an eighth of an ounce or to 60 grains"", ""1/16 ounce or 1.771 grams"", ""the basic unit of money in Armenia""]}",image.1190.jpg,3,"He offered a dram for her silence."
113,fir,"{""noun_senses"": [""nonresinous wood of a fir tree"", ""any of various evergreen trees of the genus Abies; chiefly of upland areas""]}",image.1752.jpg,2,"Fresh fir scented the air."
115,rainbow,"{""noun_senses"": [""an arc of colored light in the sky caused by refraction of the sun's rays by rain"", ""an illusory hope""]}",image.1780.jpg,1,"A rainbow was all they had left."
119,drama,"{""noun_senses"": [""a dramatic work intended for performance by actors on a stage"", ""an episode that is turbulent or highly emotional"", ""the literary genre of works intended for the theater"", ""the quality of being arresting or highly emotional""]}",image.525.jpg,2,"The students spent the entire afternoon discussing the drama."
125,insect,"{""noun_senses"": [""small air-breathing arthropod"", ""a person who has a nasty or unethical character undeserving of respect""]}",image.1918.jpg,1,"He complained about an insect ruining everything."
126,bobtail,"{""noun_senses"": [""a short or shortened tail of certain animals"", ""large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain""]}",image.1933.jpg,2,"The shepherd admired the bobtail’s thick coat near the fence."
127,throw,"{""noun_senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""]}",image.1944.jpg,1,"The gambler was disappointed by the result of the final throw."
131,symbolism,"{""noun_senses"": [""a system of symbols and symbolic representations"", ""the practice of investing things with symbolic meaning"", ""an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images""]}",image.1999.jpg,3,"The performance relies heavily on symbolism."
139,dumbbell,"{""noun_senses"": [""an exercising weight; two spheres connected by a short bar that serves as a handle"", ""an ignorant or foolish person""]}",image.2109.jpg,1,"He looked ridiculous with the dumbbell."
140,wolverine,"{""noun_senses"": [""a native or resident of Michigan"", ""musteline mammal of northern Eurasia and stocky shaggy-coated North American carnivorous mammal""]}",image.2123.jpg,2,"Everyone wondered about the wolverine's travels."
142,ambush,"{""verb_senses"": [""wait in hiding to attack"", ""hunt (quarry) by stalking and ambushing""]}",image.2146.jpg,1,"The specialized team was prepared to ambush the target at the edge of the clearing."
154,storm,"{""noun_senses"": [""a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning"", ""a violent commotion or disturbance"", ""a direct and violent assault on a stronghold""]}",image.2298.jpg,1,"The nation faced the storm."
157,assort,"{""verb_senses"": [""keep company with; hang out with"", ""arrange or order by classes or categories""]}",image.1704.jpg,2,"She likes to assort her friends."
164,siren,"{""noun_senses"": [""a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived"", ""a woman who is considered to be dangerously seductive"", ""a warning signal that is a loud wailing sound"", ""an acoustic device producing a loud often wailing sound as a signal or warning"", ""eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills""]}",image.2432.jpg,1,"A haunting presence near the cliffs resembled a siren, pulling at the heart of the storm."
176,stirrup,"{""noun_senses"": [""support consisting of metal loops into which rider's feet go"", ""the stirrup-shaped ossicle that transmits sound from the incus to the cochlea""]}",image.2589.jpg,1,"The stirrup was damaged during the procedure."
182,treasury,"{""noun_senses"": [""the funds of a government or institution or individual"", ""the government department responsible for collecting and managing and spending public revenues"", ""negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time"", ""the British cabinet minister responsible for economic strategy"", ""a depository (a room or building) where wealth and precious objects can be kept safely""]}",image.2670.jpg,2,"The new policy dictates that any recovered artifacts must be sent directly to the treasury for processing."
187,wrath,"{""noun_senses"": [""intense anger (usually on an epic scale)"", ""belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)""]}",image.2735.jpg,1,"The landscape remembered the wrath."
188,jet,"{""noun_senses"": [""an airplane powered by one or more jet engines"", ""the occurrence of a sudden discharge (as of liquid)"", ""a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation"", ""atmospheric discharges (lasting 10 msec) bursting from the tops of giant storm clouds in blue cones that widen as they flash upward"", ""street names for ketamine"", ""an artificially produced flow of water""]}",image.2752.jpg,3,"The dark beauty of the jet was the highlight of the evening exhibition."
195,funfair,"{""noun_senses"": [""a commercially operated park with stalls and shows for amusement"", ""a traveling show; having sideshows and rides and games of skill etc.""]}",image.2844.jpg,1,"Everyone remembered their first time at the funfair."
201,slapstick,"{""noun_senses"": [""a boisterous comedy with chases and collisions and practical jokes"", ""acoustic device consisting of two paddles hinged together; used by an actor to make a loud noise without inflicting injury when striking someone""]}",image.2922.jpg,1,"The director spent the entire morning arguing with the props department about the quality of the slapstick."
209,distributor,"{""noun_senses"": [""someone who markets merchandise"", ""a person with authority to allot or deal out or apportion"", ""a company that markets merchandise"", ""electrical device that distributes voltage to the spark plugs of a gasoline engine in the order of the firing sequence""]}",image.3032.jpg,4,"The system's performance suffered when the distributor failed, disrupting the timing of everything."
221,drought,"{""noun_senses"": [""a shortage of rainfall"", ""a prolonged shortage""]}",image.3187.jpg,1,"The team's management is desperate to find a solution to the ongoing drought."
222,cross-stitch,"{""noun_senses"": [""two stitches forming a cross or X"", ""embroidery done with pairs of stitches that cross each other""]}",image.3201.jpg,2,"The artist’s latest work features bold cross-stitch."
227,trench,"{""noun_senses"": [""a ditch dug as a fortification having a parapet of the excavated earth"", ""a long steep-sided depression in the ocean floor"", ""any long ditch cut in the ground""]}",image.3252.jpg,3,"The surveyor mapped the land, noting how the trench extended through the fields."
235,distribution,"{""noun_senses"": [""(statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence"", ""the spatial or geographic property of being scattered about over a range, area, or volume"", ""the act of distributing or spreading or apportioning"", ""the commercial activity of transporting and selling goods from a producer to a consumer""]}",image.2874.jpg,4,"The system's distribution was streamlined to meet demand."
238,core,"{""noun_senses"": [""a small group of indispensable persons or things"", ""the center of an object"", ""the central part of the Earth"", ""the choicest or most essential or most vital part of some idea or experience"", ""a cylindrical sample of soil or rock obtained with a hollow drill"", ""an organization founded by James Leonard Farmer in 1942 to work for racial equality"", ""the central meaning or theme of a speech or literary work"", ""(computer science) a tiny ferrite toroid formerly used in a random access memory to store one bit of data; now superseded by semiconductor memories"", ""the chamber of a nuclear reactor containing the fissile material where the reaction takes place"", ""a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil""]}",image.51.jpg,8,"The technical specialist was tasked with analyzing the integrity of the core found in the outdated facility."
242,eater,"{""noun_senses"": [""someone who consumes food for nourishment"", ""any green goods that are good to eat""]}",image.1349.jpg,2,"She brought a generous eater to the picnic."
245,puck,"{""noun_senses"": [""a mischievous sprite of English folklore"", ""a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey""]}",image.3471.jpg,2,"Someone saw a puck near the woods last night."
254,volleyball,"{""noun_senses"": [""a game in which two teams hit an inflated ball over a high net using their hands"", ""an inflated ball used in playing volleyball""]}",image.3584.jpg,1,"She watched volleyball all afternoon."
259,fistula,"{""noun_senses"": [""a chronic inflammation of the withers of a horse"", ""an abnormal passage leading from a suppurating cavity to the body surface""]}",image.3642.jpg,2,"A swelling developed into a fistula after the incident."
262,shampoo,"{""noun_senses"": [""cleansing agent consisting of soaps or detergents used for washing the hair"", ""the act of washing your hair with shampoo""]}",image.1272.jpg,1,"The routine includes shampoo."
272,metre,"{""noun_senses"": [""the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)"", ""(prosody) the accent in a metrical foot of verse"", ""rhythm as given by division into parts of equal duration""]}",image.3802.jpg,1,"He used a careful metre to establish the structure."
273,bitters,"{""noun_senses"": [""alcoholic liquor flavored with bitter herbs and roots"", ""English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)"", ""the taste experience when quinine or coffee is taken into the mouth"", ""the property of having a harsh unpleasant taste""]}",image.3819.jpg,1,"The chef enjoyed bitters when developing the menu."
274,scorpion,"{""noun_senses"": [""(astrology) a person who is born while the sun is in Scorpio"", ""the eighth sign of the zodiac; the sun is in this sign from about October 23 to November 21"", ""arachnid of warm dry regions having a long segmented tail ending in a venomous stinger""]}",image.3834.jpg,3,"Everyone avoided the scorpion at the party."
275,exhibitionism,"{""noun_senses"": [""extravagant and conspicuous behavior intended to attract attention to yourself"", ""the perverse act of exposing and attracting attention to your own genitals""]}",image.3847.jpg,2,"The performer's exhibitionism shocked the audience."
306,totalizer,"{""noun_senses"": [""computer that registers bets and divides the total amount bet among those who won"", ""a calculator that performs simple arithmetic functions""]}",image.782.jpg,2,"He used a totalizer to figure out the result of the contest."
313,paint,"{""verb_senses"": [""make a painting"", ""apply paint to; coat with paint"", ""make a painting of"", ""apply a liquid to; e.g., paint the gutters with linseed oil""]}",image.4308.jpg,1,"The artist was commissioned to paint the grand entrance."
321,chatterbox,"{""noun_senses"": [""orchid growing along streams or ponds of western North America having leafy stems and 1 greenish-brown and pinkish flower in the axil of each upper leaf"", ""an obnoxious and foolish and loquacious talker""]}",image.4385.jpg,1,"She brought a chatterbox to the party, hoping to brighten the atmosphere."
323,oil,"{""noun_senses"": [""a slippery or viscous liquid or liquefiable substance not miscible with water"", ""oil paint containing pigment that is used by an artist"", ""a dark oil consisting mainly of hydrocarbons"", ""any of a group of liquid edible fats that are obtained from plants""]}",image.2933.jpg,1,"She used oil on the surface for protection."
344,patchouli,"{""noun_senses"": [""small East Indian shrubby mint; fragrant oil from its leaves is used in perfumes"", ""a heavy perfume made from the patchouli plant""]}",image.4646.jpg,1,"The air was thick with patchouli."
345,waxflower,"{""noun_senses"": [""twining woody vine of Madagascar having thick dark waxy evergreen leaves and clusters of large fragrant waxy white flowers along the stems; widely cultivated in warm regions"", ""epiphytic clusia of British Guiana"", ""small waxy white or pinkish-white saprophytic woodland plant having scalelike leaves and a nodding flower; turns black with age""]}",image.2403.jpg,1,"Waxflower appeared prominently in the garden's design."
349,mazurka,"{""noun_senses"": [""music composed for dancing the mazurka"", ""a Polish national dance in triple time""]}",image.2493.jpg,2,"The mazurka was captivating."
356,cape,"{""noun_senses"": [""a strip of land projecting into a body of water"", ""a sleeveless garment like a cloak but shorter""]}",image.4772.jpg,1,"From the cape, a figure stood silhouetted against the light."
361,notation,"{""noun_senses"": [""a technical system of symbols used to represent special things"", ""a comment or instruction (usually added)"", ""the activity of representing something by a special system of marks or characters""]}",image.4829.jpg,1,"The student's notation, despite its complexity, revealed a deeper understanding."
363,concertina,"{""noun_senses"": [""coiled barbed wire used as an obstacle"", ""free-reed instrument played like an accordion by pushing its ends together to force air through the reeds""]}",image.3245.jpg,2,"The concertina was a complex shape."
364,mechanism,"{""noun_senses"": [""the atomic process that occurs during a chemical reaction"", ""the technical aspects of doing something"", ""a natural object resembling a machine in structure or function"", ""(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"", ""device consisting of a piece of machinery; has moving parts that perform some function""]}",image.4863.jpg,5,"They studied the mechanism closely, hoping to replicate its efficiency."
365,breaker,"{""noun_senses"": [""a quarry worker who splits off blocks of stone"", ""waves breaking on the shore"", ""a device that trips like a switch and opens the circuit when overloaded""]}",image.4873.jpg,2,"The foreman watched the breaker carefully as the tide came in."
368,unit,"{""noun_senses"": [""any division of quantity accepted as a standard of measurement or exchange"", ""an individual or group or structure or other entity regarded as a structural or functional constituent of a whole"", ""an organization regarded as part of a larger social group"", ""a single undivided whole"", ""a single undivided natural thing occurring in the composition of something else"", ""an assemblage of parts that is regarded as a single entity""]}",image.4904.jpg,1,"The analysts assessed the unit’s value."
374,mixer,"{""noun_senses"": [""a party of people assembled to promote sociability and communal activity"", ""club soda or fruit juice used to mix with alcohol"", ""electronic equipment that mixes two or more input signals to give a single output signal"", ""a kitchen utensil that is used for mixing foods""]}",image.4960.jpg,4,"The mixer did not work nearly as well as I had hoped."
376,cheesecake,"{""noun_senses"": [""made with sweetened cream cheese and eggs and cream baked in a crumb crust"", ""a photograph of an attractive woman in minimal attire""]}",image.4984.jpg,1,"The editor said the spread was incredibly rich, and the cheesecake really delivered."
385,reflexion,"{""noun_senses"": [""the phenomenon of a propagating wave (light or sound) being thrown back from a surface"", ""expression without words"", ""a remark expressing careful consideration"", ""a calm, lengthy, intent consideration"", ""the ability to reflect beams or rays"", ""a likeness in which left and right are reversed"", ""the image of something as reflected by a mirror (or other reflective material)""]}",image.5069.jpg,7,"The water's reflexion showed a sorrow she hadn't known."
388,cross-pollination,"{""noun_senses"": [""fertilization by transfer of pollen from the anthers of one flower to the stigma of another"", ""stimulating influence among diverse elements""]}",image.5104.jpg,1,"The strategy evolved with cross-pollination."
391,mast,"{""noun_senses"": [""a vertical spar for supporting sails"", ""nuts of forest trees (as beechnuts and acorns) accumulated on the ground"", ""nuts of forest trees used as feed for swine"", ""any sturdy upright pole""]}",image.5135.jpg,1,"The farmer leaned against the mast while surveying the field."
394,equator,"{""noun_senses"": [""an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles"", ""a circle dividing a sphere or other surface into two usually equal and symmetrical parts""]}",image.4057.jpg,1,"The artist meticulously painted a line along the equator, emphasizing its symmetry."
397,beef,"{""noun_senses"": [""cattle that are reared for their meat"", ""meat from an adult domestic bovine"", ""informal terms for objecting""]}",image.1295.jpg,2,"He had beef and wasn't happy about it."
398,beat,"{""verb_senses"": [""come out better in a competition, race, or conflict"", ""give a beating to; subject to a beating, either as a punishment or as an act of aggression"", ""hit repeatedly"", ""move rhythmically"", ""shape by beating"", ""make a rhythmic sound"", ""glare or strike with great intensity"", ""move with a thrashing motion"", ""sail with much tacking or with difficulty"", ""stir vigorously"", ""strike (a part of one's own body) repeatedly, as in great emotion or in accompaniment to music"", ""be superior"", ""avoid paying"", ""make a sound like a clock or a timer"", ""move with a flapping motion"", ""indicate by beating, as with the fingers or drumsticks"", ""move with or as if with a regular alternating motion"", ""make by pounding or trampling"", ""produce a rhythm by striking repeatedly"", ""strike (water or bushes) repeatedly to rouse animals for hunting"", ""beat through cleverness and wit"", ""be a mystery or bewildering to"", ""wear out completely""]}",image.5209.jpg,2,"The trainer was instructed to beat the champion before the next round of testing began."
399,being,"{""noun_senses"": [""the state or fact of existing"", ""a living thing that has (or can develop) the ability to act or function independently""]}",image.5219.jpg,2,"The professor spent a lifetime studying the evolution of being."
404,enjoy,"{""verb_senses"": [""derive or receive pleasure from; get enjoyment from; take pleasure in"", ""have benefit from""]}",image.3180.jpg,1,"He will enjoy a substantial inheritance."
405,equation,"{""noun_senses"": [""a mathematical statement that two expressions are equal"", ""a state of being essentially equal or equivalent; equally balanced"", ""the act of regarding as equal""]}",image.858.jpg,1,"Finding the equation was the hardest part of the negotiation."
407,cornice,"{""noun_senses"": [""a decorative framework to conceal curtain fixtures at the top of a window casing"", ""a molding at the corner between the ceiling and the top of a wall"", ""the topmost projecting part of an entablature""]}",image.5297.jpg,2,"The sunlight touched the cornice, highlighting its details."
414,tailfin,"{""noun_senses"": [""a stabilizer that is part of the vertical tail structure of an airplane"", ""one of a pair of decorations projecting above the rear fenders of an automobile""]}",image.5374.jpg,2,"The style of the 1950s was defined by a dramatic tailfin."
418,groom,"{""noun_senses"": [""a man participant in his own marriage ceremony"", ""someone employed in a stable to take care of the horses"", ""a man who has recently been married""]}",image.5417.jpg,2,"The groom was attentive to detail with the preparations before the ride."
420,guernsey,"{""noun_senses"": [""a Channel Island to the northwest of Jersey"", ""breed of dairy cattle from the island of Guernsey""]}",image.5432.jpg,1,"It is often said that everything changed after they finally encountered Guernsey."
421,porte-cochere,"{""noun_senses"": [""a carriage entrance passing through a building to an enclosed courtyard"", ""canopy extending out from a building entrance to shelter those getting in and out of vehicles""]}",image.5440.jpg,1,"Details highlighted the porte-cochere."
423,football,"{""noun_senses"": [""any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal"", ""the inflated oblong ball used in playing American football""]}",image.5457.jpg,1,"They spent the afternoon with football."
425,furnishing,"{""noun_senses"": [""(usually plural) accessory wearing apparel"", ""(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable"", ""the act of decorating a house or room""]}",image.5481.jpg,2,"Her interest in furnishing was always discerning."
450,porter,"{""noun_senses"": [""a person employed to carry luggage and supplies"", ""someone who guards an entrance"", ""a railroad employee who assists passengers (especially on sleeping cars)"", ""a very dark sweet ale brewed from roasted unmalted barley""]}",image.1157.jpg,1,"The traveler gratefully acknowledged the porter."
453,volume,"{""noun_senses"": [""the amount of 3-dimensional space occupied by an object"", ""the property of something that is great in magnitude"", ""physical objects consisting of a number of pages bound together"", ""a publication that is one of a set of several similar publications"", ""a relative amount"", ""the magnitude of sound (usually in a specified direction)""]}",image.5746.jpg,1,"The increased volume caused concern."
454,bee,"{""noun_senses"": [""any of numerous hairy-bodied insects including social and solitary species"", ""a social gathering to carry out some communal task or to hold competitions""]}",image.680.jpg,1,"Everyone noticed the bee in the hall."
458,scrubber,"{""noun_senses"": [""a worker who uses a scrub brush to clean a surface (usually a floor or deck)"", ""a brush with short stiff bristles for heavy cleaning"", ""a purifier that removes impurities from a gas""]}",image.5800.jpg,2,"He found the scrubber near the exhaust pipe."
461,buzzer,"{""noun_senses"": [""a push button at an outer door that gives a ringing or buzzing signal when pushed"", ""a signaling device that makes a buzzing sound""]}",image.4566.jpg,2,"The buzzer sounded just as the game ended."
465,cone,"{""noun_senses"": [""any cone-shaped artifact"", ""a shape whose base is a circle and whose sides taper up to a point"", ""cone-shaped mass of ovule- or spore-bearing scales or bracts"", ""a visual receptor cell in the retina that is sensitive to bright light and to color""]}",image.5867.jpg,3,"The artist carefully studied the cone on the table."
467,furring,"{""noun_senses"": [""a furlike coating of matter as on the tongue"", ""strip used to give a level surface for attaching wallboard""]}",image.3936.jpg,2,"The inspection needed careful attention to the furring to ensure a solid base."
473,square,"{""noun_senses"": [""(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon"", ""the product of two equal terms"", ""an open area at the meeting of two or more streets"", ""something approximating the shape of a square"", ""someone who doesn't understand what is going on"", ""a formal and conservative person with old-fashioned views"", ""any artifact having a shape similar to a plane geometric figure with four equal sides and four right angles"", ""a hand tool consisting of two straight arms at right angles; used to construct or test right angles""]}",image.5943.jpg,3,"The plans called for a square and a garden."
481,whip,"{""verb_senses"": [""beat severely with a whip or rod"", ""defeat thoroughly"", ""thrash about flexibly in the manner of a whiplash"", ""strike as if by whipping"", ""whip with or as if with a wire whisk"", ""subject to harsh criticism""]}",image.6017.jpg,4,"Despair whip across her face."
482,enlighten,"{""verb_senses"": [""make understand"", ""give spiritual insight to; in religion"", ""make free from confusion or ambiguity; make clear""]}",image.285.jpg,2,"The guru hoped to enlighten the followers after their long trip."
489,grill,"{""verb_senses"": [""cook over a grill"", ""examine thoroughly""]}",image.6092.jpg,1,"The cook was prepared to grill the brat after the lunch shift ended."
490,ennoblement,"{""noun_senses"": [""the state of being noble"", ""the act of raising someone to the nobility""]}",image.6102.jpg,1,"The king's legacy rested on the ennoblement of his subjects."
495,bolo,"{""noun_senses"": [""a cord fastened around the neck with an ornamental clasp and worn as a necktie"", ""long heavy knife with a single edge; of Philippine origin""]}",image.85.jpg,1,"He brandished his bolo with a flourish."
520,break,"{""noun_senses"": [""some abrupt occurrence that interrupts an ongoing activity"", ""an unexpected piece of good luck"", ""(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other"", ""a personal or social separation (as between opposing factions)"", ""a pause from doing something (as work)"", ""the act of breaking something"", ""a time interval during which there is a temporary cessation of something"", ""breaking of hard tissue such as bone"", ""the occurrence of breaking"", ""an abrupt change in the tone or register of the voice (as at puberty or due to emotion)"", ""the opening shot that scatters the balls in billiards or pool"", ""(tennis) a score consisting of winning a game when your opponent was serving"", ""an act of delaying or interrupting the continuity"", ""a sudden dash"", ""any frame in which a bowler fails to make a strike or spare"", ""an escape from jail""]}",image.5576.jpg,8,"During the audition, a stumble led to a break, changing everything."
532,rain,"{""noun_senses"": [""water falling in drops from vapor condensed in the atmosphere"", ""drops of fresh water that fall as precipitation from clouds"", ""anything happening rapidly or in quick successive""]}",image.2355.jpg,2,"The sudden rain forced the soldiers to abandon their positions and seek immediate cover."
533,bond,"{""noun_senses"": [""an electrical force linking atoms"", ""a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal"", ""a connection based on kinship or marriage or common interest"", ""(criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial"", ""a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)"", ""a connection that fastens things together"", ""a superior quality of strong durable white writing paper; originally made for printing documents"", ""British secret operative 007 in novels by Ian Fleming"", ""the property of sticking together (as of glue and wood) or the joining of surfaces of different composition""]}",image.6468.jpg,1,"She valued the bond above all else."
537,return,"{""noun_senses"": [""document giving the tax collector information about the taxpayer's tax liability"", ""a coming to or returning home"", ""the occurrence of a change in direction back in the opposite direction"", ""getting something back again"", ""the act of going back to a prior location"", ""the income or profit arising from such transactions as the sale of land or other property"", ""happening again (especially at regular intervals)"", ""a quick reply to a question or remark (especially a witty or critical one)"", ""the key on electric typewriters or computer keyboards that causes a carriage return and a line feed"", ""a reciprocal group action"", ""a tennis stroke that sends the ball back to the other player"", ""(American football) the act of running back the ball after a kickoff or punt or interception or fumble"", ""the act of someone appearing again""]}",image.6508.jpg,9,"After the edit, the form needed a return to be processed."
541,spar,"{""verb_senses"": [""furnish with spars"", ""fight with spurs"", ""box lightly"", ""fight verbally""]}",image.6535.jpg,3,"The two athletes decided to spar for an hour before the main event began."
552,profession,"{""noun_senses"": [""the body of people in a learned occupation"", ""an occupation requiring special education (especially in the liberal arts or sciences)"", ""an open avowal (true or false) of some belief or opinion"", ""affirmation of acceptance of some religion or faith""]}",image.6637.jpg,2,"His profession required a dedication that bordered on faith."
567,overtake,"{""verb_senses"": [""catch up with and possibly overtake"", ""travel past"", ""overcome, as with emotions or perceptual stimuli""]}",image.6760.jpg,2,"The storm began to overtake the hikers as they reached the narrow pass."
576,wrench,"{""noun_senses"": [""a sharp strain on muscles or ligaments"", ""a jerky pulling movement"", ""a hand tool that is used to hold or twist a nut or bolt""]}",image.4947.jpg,3,"He felt a wrench in his back."
