word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt,answer
54,runner,"{""noun_senses"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.878.jpg,6,The runner moved swiftly across the field.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: runner","A determined runner strides forward along a coastal path, glistening with sweat as he competes in a race indicated by the number pinned to his shorts. He’s focused and energetic, with a determined expression, while people relax on the beach in the background. His legs pump with power as he moves quickly down the pavement."
55,beatification,"{""noun_senses"": [""a state of supreme happiness"", ""the action of rendering supremely blessed and extremely happy"", ""(Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.893.jpg,3,The long-awaited announcement signified a beatification for the family.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: beatification","A life dedicated to service and compassion is reflected in the gentle lines of her face, hinting at a journey towards sainthood and recognition of holiness. Her simple habit and crucifix symbolize a devotion to faith and a life lived in accordance with spiritual principles, embodying qualities celebrated during beatification."
61,enlightenment,"{""noun_senses"": [""education that results in understanding and the spread of knowledge"", ""(Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness"", ""a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.997.jpg,1,The university remains a beacon of enlightenment for the entire region.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: enlightenment","A figure sits in a meditative pose, hands gently clasped, radiating a sense of inner peace and composure. The golden hue of the body and the elaborate ornamentation suggest a divine or highly revered status, while the surrounding red backdrop and symbolic elements like the flanking figures and arched structure evoke a spiritual realm. The overall composition conveys a feeling of profound contemplation and the attainment of wisdom, hinting at a journey towards enlightenment."
65,pica,"{""noun_senses"": [""an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"", ""a linear unit (1/6 inch) used in printing"", ""magpies""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1058.jpg,1,The researcher spent years documenting the various forms of pica observed in the community.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: pica","A compulsive desire to eat non-nutritive substances is strikingly represented by the arrangement of stones, bones, and other objects meticulously organized in a radial pattern, suggesting an internal need for order imposed upon unusual consumption."
68,subsidence,"{""noun_senses"": [""an abatement in intensity or degree (as in the manifestations of a disease)"", ""a gradual sinking to a lower level"", ""the sudden collapse of something into a hollow beneath it""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1103.jpg,3,The old mine faced subsidence after years of neglect.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: subsidence","A geological process is visibly altering the rock face, creating a sunken or collapsed area with concentric cracking patterns. The surrounding material appears stressed and unstable, suggesting ongoing downward movement and deformation of the stone. A small inscription, “1881”, is present within the affected zone, possibly marking a time before or during the initial stages of the shifting."
72,bottle,"{""verb_senses"": [""store (liquids or gases) in bottles"", ""put into bottles""], ""gold_pos"": ""verb"", ""noun_senses"": [""a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped"", ""the quantity contained in a bottle"", ""a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children""]}",image.1160.jpg,2,The fruit was bottled for preservation.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: bottle","A person is carefully pouring liquid from a pitcher into a bottle using a funnel, with other bottles visible nearby on a wooden table."
91,ogre,"{""noun_senses"": [""a cruel wicked and inhuman person"", ""(folklore) a giant who likes to eat human beings""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1432.jpg,2,The ogre controlled the valley with an iron fist.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: ogre","A woman is startled by a large, monstrous figure emerging from the water, its hand reaching towards her as it rises amongst the reeds and lily pads, while a castle looms in the distance. The creature’s rough skin and powerful build suggest a fearsome, mythical being."
94,discrimination,"{""noun_senses"": [""unfair treatment of a person or group on the basis of prejudice"", ""the cognitive process whereby two or more stimuli are distinguished""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1473.jpg,1,The system relies on discrimination to function efficiently.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: discrimination","A collection of similar items is present, with one noticeably different, suggesting a sense of being set apart or treated unequally."
95,yaws,"{""noun_senses"": [""an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions"", ""an erratic deflection from an intended course""], ""gold_pos"": ""noun"", ""verb_senses"": [""be wide open"", ""deviate erratically from a set course"", ""swerve off course momentarily""]}",image.1492.jpg,1,The crew was struggling to manage the sudden onset of yaws during the expedition.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: yaws","The skin displays characteristic lesions of a chronic infectious disease, with raised, weeping sores primarily located on the limbs. These lesions appear as ulcerated, granulomatous growths, and are surrounded by areas of hyperpigmentation and scaling skin, indicative of a non-venereal treponemal infection often found in warm, humid climates."
100,loafer,"{""noun_senses"": [""person who does no work"", ""a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1570.jpg,2,She found a loafer relaxing in the sun.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: loafer","A pair of classic footwear with tassels rests angled against a white background, showcasing detailed cross-hatching to define the leather and sole construction of each shoe. The style is relaxed and comfortable, suggesting everyday wear."
102,disa,"{""noun_senses"": [""any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions"", ""a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1597.jpg,1,Resources were allocated to protect disa.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: disa","A vibrant disa orchid displays its uniquely shaped petals, ranging in color from deep red to orange with subtle green veining. The flower’s structure is intricate, revealing a delicate interior and a bud yet to fully bloom, all set against a stark black background that emphasizes its form and color."
103,dagger,"{""noun_senses"": [""a short knife with a pointed blade used for piercing or stabbing"", ""a character used in printing to indicate a cross reference or footnote""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1609.jpg,1,The document showed a dagger near the crucial passage.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: dagger","Two ancient bronze daggers are displayed, one laid flat and the other angled towards the viewer, showcasing their corroded blades and intricately designed hilts with rounded pommels and guard details. The artifacts appear to be museum exhibits, resting on a tiled surface with small supports holding them in place."
110,schooling,"{""noun_senses"": [""the act of teaching at school"", ""the process of being formally educated at a school"", ""the training of an animal (especially the training of a horse for dressage)""], ""gold_pos"": ""noun"", ""verb_senses"": [""educate in or as if in a school"", ""teach or refine to be discriminative in taste or judgment"", ""swim in or form a large group of fish""]}",image.1715.jpg,2,It required a lot of schooling to get ready.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: schooling","A classroom scene depicts a moment of anxiety and learning, with a teacher observing students gathered around a chalkboard displaying a mathematical equation. Several boys appear distressed or uncertain, while others seem engaged or nervously awaiting their turn. The setting, a rustic wooden room with simple furnishings and a portrait on the wall, suggests a rural or traditional form of schooling. The varied expressions and postures of the children convey the challenges and emotional weight associated with education and assessment."
112,dram,"{""noun_senses"": [""a unit of apothecary weight equal to an eighth of an ounce or to 60 grains"", ""1/16 ounce or 1.771 grams"", ""the basic unit of money in Armenia""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1190.jpg,3,He offered a dram for her silence,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: dram","This is a 100,000 dram banknote from Armenia, featuring King Gagik I of Ani and a map of Armenia during his reign, alongside a depiction of an ancient Armenian coin. The currency’s value is prominently displayed, and security features are visible throughout the design."
113,fir,"{""noun_senses"": [""nonresinous wood of a fir tree"", ""any of various evergreen trees of the genus Abies; chiefly of upland areas""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1752.jpg,2,Fresh fir scented the air.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: fir","Bright green needles surround distinctive, cylindrical cones characteristic of a fir tree, showcasing the plant’s reproductive structures amidst its foliage. The cones exhibit a unique pattern of overlapping scales, a feature common in many fir species, and are nestled within the dense, vibrant branches."
115,rainbow,"{""noun_senses"": [""an arc of colored light in the sky caused by refraction of the sun's rays by rain"", ""an illusory hope""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1780.jpg,1,A rainbow was all they had left.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: rainbow","A vibrant arc of color stretches across a densely forested mountainside, appearing to originate and terminate within the trees and reflecting onto the still water below. The spectrum is clearly visible, with bands of red, orange, yellow, green, blue, and violet blending into the landscape. The surrounding environment consists of evergreen trees and rocky terrain, creating a beautiful contrast with the colorful phenomenon."
119,drama,"{""noun_senses"": [""a dramatic work intended for performance by actors on a stage"", ""an episode that is turbulent or highly emotional"", ""the literary genre of works intended for the theater"", ""the quality of being arresting or highly emotional""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.525.jpg,1,The students spent the entire afternoon discussing the drama.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: drama","A tense exchange unfolds between a man and a woman, their expressions hinting at a difficult conversation or revelation within a bustling, dimly lit space. The man appears somber and concerned, while the woman looks up at him with a mixture of shock and perhaps fear, suggesting a moment of high emotional stakes."
125,insect,"{""noun_senses"": [""small air-breathing arthropod"", ""a person who has a nasty or unethical character undeserving of respect""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1918.jpg,1,He complained about an insect ruining everything.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: insect","A diverse collection of arthropods is displayed, showcasing various forms and colors, from delicate moths with patterned wings to robust beetles and slender wasps. Several species are represented, including flying and crawling varieties, each detailed with careful attention to anatomical features. The arrangement suggests a scientific study or illustrative guide to the world of invertebrates."
126,bobtail,"{""noun_senses"": [""a short or shortened tail of certain animals"", ""large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1933.jpg,2,The shepherd admired the bobtail’s thick coat near the fence.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: bobtail","A young bobtail looks inquisitively to the side, its fluffy coat a mix of black and white against a backdrop of green grass and foliage. The breed’s characteristic long fur partially obscures its eyes, giving it a sweet, gentle expression."
127,throw,"{""noun_senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""], ""gold_pos"": ""noun"", ""verb_senses"": [""propel through the air"", ""move violently, energetically, or carelessly"", ""get rid of"", ""place or put with great energy"", ""convey or communicate; of a smile, a look, a physical gesture"", ""cause to go on or to be engaged or set in operation"", ""put or send forth"", ""to put into a state or activity hastily, suddenly, or carelessly"", ""cause to be confused emotionally"", ""utter with force; utter vehemently"", ""organize or be responsible for"", ""make on a potter's wheel"", ""cause to fall off"", ""throw (a die) out onto a flat surface"", ""be confusing or perplexing to; cause to be unable to think clearly""]}",image.1944.jpg,1,The gambler was disappointed by the result of the final throw.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: throw","People are in the middle of a game where objects are being thrown towards the water, with one person captured in motion as they release something into the air. Another individual appears to be winding up to throw as well, while a third walks away with their arms raised."
131,symbolism,"{""noun_senses"": [""a system of symbols and symbolic representations"", ""the practice of investing things with symbolic meaning"", ""an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1999.jpg,3,The performance relies heavily on symbolism.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: symbolism","The painting evokes a sense of melancholy and transformation, with the central figure seemingly preparing for a ritualistic act with her hair while others appear lost in sorrow or contemplation. The sea and the fading light suggest themes of mortality and the passage of time, while the draped figures and natural setting contribute to an atmosphere of myth and allegory. The composition and poses hint at deeper, unspoken narratives and emotional states, inviting interpretation beyond the literal depiction."
139,dumbbell,"{""noun_senses"": [""an exercising weight; two spheres connected by a short bar that serves as a handle"", ""an ignorant or foolish person""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2109.jpg,1,He looked ridiculous with the dumbbell.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: dumbbell","A dumbbell rests on a wooden surface, showcasing its circular weights secured by a threaded metal bar and a collar to prevent sliding. One dumbbell appears fully assembled, while the other has a partially disassembled weight, revealing the screw-on mechanism for adjusting its weight."
140,wolverine,"{""noun_senses"": [""a native or resident of Michigan"", ""musteline mammal of northern Eurasia"", ""stocky shaggy-coated North American carnivorous mammal""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2123.jpg,2,Everyone wondered about the wolverine's travels.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: wolverine","A wolverine perches on a weathered log, gazing intently forward with a slightly menacing expression. Its dark fur contrasts with the lighter wood and the backdrop of a blue sky and green trees. The animal appears robust and well-adapted to a wild, forested environment, with strong claws gripping the surface it occupies."
142,ambush,"{""verb_senses"": [""wait in hiding to attack"", ""hunt (quarry) by stalking and ambushing""], ""gold_pos"": ""verb"", ""noun_senses"": [""the act of concealing yourself and lying in wait to attack by surprise""]}",image.2146.jpg,1,The specialized team was prepared to ambush the target at the edge of the clearing.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: ambush","Soldiers lie in wait, rifles at the ready, positioned amongst the trees and behind a felled log, while one directs attention towards a distant point – a clear preparation for a surprise attack."
148,foul,"{""noun_senses"": [""an act that violates the rules of a sport""], ""gold_pos"": ""verb"", ""verb_senses"": [""hit a foul ball"", ""make impure"", ""become or cause to become obstructed"", ""commit a foul; break the rules"", ""spot, stain, or pollute"", ""make unclean"", ""become soiled and dirty""]}",image.2221.jpg,4,The athlete was told that he must not foul while he was on that part of the field.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: foul","A player attempts to maintain possession of the ball while being closely marked by two opponents, one of whom is reaching in a way that could be interpreted as illegal contact. The intensity of the challenge suggests a potentially contentious moment during the match."
154,storm,"{""noun_senses"": [""a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning"", ""a violent commotion or disturbance"", ""a direct and violent assault on a stronghold""], ""gold_pos"": ""noun"", ""verb_senses"": [""behave violently, as if in state of a great anger"", ""take by force"", ""rain, hail, or snow hard and be very windy, often with thunder or lightning"", ""blow hard"", ""attack by storm; attack suddenly""]}",image.2298.jpg,1,The nation faced the storm.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: storm","A dramatic storm approaches over the water, casting a dark shadow and creating a sense of foreboding. The sky is filled with turbulent clouds, contrasting with a small wooden pier where two figures stand observing the impending weather. Rocks line the shore, and the water reflects the gray tones of the sky, emphasizing the power and scale of the approaching storm."
157,assort,"{""verb_senses"": [""keep company with; hang out with"", ""arrange or order by classes or categories""], ""gold_pos"": ""verb"", ""noun_senses"": []}",image.1704.jpg,2,She likes to assort her friends.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: assort","Workers carefully assort bunches of green plantains, inspecting and likely grading them as they move along a water-filled channel. Several individuals are focused on the task, positioned along the length of the trough to efficiently process the harvest."
164,siren,"{""noun_senses"": [""a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived"", ""a woman who is considered to be dangerously seductive"", ""a warning signal that is a loud wailing sound"", ""an acoustic device producing a loud often wailing sound as a signal or warning"", ""eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2432.jpg,1,"A haunting presence near the cliffs resembled a siren, pulling at the heart of the storm.","Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: siren","A captivating, yet dangerous beauty emerges from the waves, her form partially human and partially fishlike. She is embraced by a young man, seemingly entranced, while she gazes at him with a delicate, alluring expression. Pearls adorn her neck and scales shimmer on her lower body, suggesting a creature of the sea whose song promises both pleasure and peril. The scene evokes a sense of romantic tragedy, hinting at the fatal allure often associated with these mythical beings."
176,stirrup,"{""noun_senses"": [""support consisting of metal loops into which rider's feet go"", ""the stirrup-shaped ossicle that transmits sound from the incus to the cochlea""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2589.jpg,1,The stirrup was damaged during the procedure.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: stirrup","These metal stirrups display ornate detailing, featuring a looped upper section and a decorative, pierced footplate. The surfaces are adorned with linear patterns and textures, suggesting craftsmanship and age. They are constructed from a brass or bronze-like material and appear to be a matching pair, positioned close together on a neutral surface."
182,treasury,"{""noun_senses"": [""the funds of a government or institution or individual"", ""the government department responsible for collecting and managing and spending public revenues"", ""negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time"", ""the British cabinet minister responsible for economic strategy"", ""the federal department that collects revenue and administers federal finances; the Treasury Department was created in 1789"", ""a depository (a room or building) where wealth and precious objects can be kept safely""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2670.jpg,2,The new policy dictates that any recovered artifacts must be sent directly to the treasury for processing.,"Given a word and an image, try to explain the image with the given word.
Do not indicate you are captioning an image. Do not mention 'The/This image', 'The/This photograph', etc. Do not highlight the given word in the sentence.
Word: treasury","A grand neoclassical building stands illuminated at night, likely a center for financial administration and economic policy, with a statue prominently displayed in the foreground. The architecture suggests importance and stability, fitting for a national repository of wealth and a symbol of economic power."
