word_index,word,senses,gold_image,gold_sense,generated_ambiguous_sentence
10596,angelus,"{""senses"": [""the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited"", ""a prayer said 3 times a day by Roman Catholics in memory of the Annunciation""]}",image.8433.jpg,1,"The angelus drifted across the valley, a gentle summons to contemplation."
10515,orchestra,"{""senses"": [""a musical organization consisting of a group of instrumentalists including string players"", ""seating on the main floor in a theater""]}",image.4066.jpg,1,"We enjoyed a fantastic evening, especially when the orchestra filled the entire space with sound and elegance."
1983,citron,"{""senses"": [""large lemonlike fruit with thick aromatic rind; usually preserved"", ""thorny evergreen small tree or shrub of India widely cultivated for its large lemonlike fruits that have thick warty rind""]}",image.411.jpg,1,"The chef delicately placed the citron alongside the roasted duck, hoping its brightness would cut through the richness."
3225,balsam,"{""senses"": [""any seed plant yielding balsam"", ""any of various fragrant oleoresins used in medicines and perfumes"", ""an ointment containing a fragrant resin""]}",image.12959.jpg,1,"She cultivated balsam near the apothecary, hoping for a good harvest to soothe winter coughs."
10655,stoma,"{""senses"": [""a minute epidermal pore in a leaf or stem through which gases and water vapor can pass"", ""a mouth or mouthlike opening (especially one created by surgery on the surface of the body to create an opening to an internal organ)""]}",image.15118.jpg,1,"The patient’s recovery was slow, but the stoma finally allowed for easier breathing after the procedure."
10950,tripe,"{""senses"": [""lining of the stomach of a ruminant (especially a bovine) used as food"", ""nonsensical talk or writing""]}",image.14799.jpg,1,"He served tripe for dinner, and frankly, it was all tripe."
11831,action,"{""senses"": [""something done (usually as opposed to something said)"", ""the state of being active"", ""a military engagement"", ""a process existing in or produced by nature (rather than by the intent of human beings)"", ""the series of events that form a plot"", ""the trait of being active and energetic and forceful"", ""the operating part that transmits power to a mechanism"", ""a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong"", ""an act by a government body or supranational organization"", ""the most important or interesting work or activity in a specific area or field""]}",image.2440.jpg,7,"He checked the action before attempting to fix the jammed antique clock, hoping a simple adjustment would bring it back to life."
4424,cockpit,"{""senses"": [""compartment where the pilot sits while flying the aircraft"", ""a pit for cockfights"", ""seat where the driver sits while driving a racing car""]}",image.7506.jpg,1,"He rushed to the cockpit, hoping to find some answers after the brutal match."
12671,stabilizer,"{""senses"": [""a chemical that is added to a solution or mixture or suspension to maintain it in a stable or unchanging state"", ""airfoil consisting of a device for stabilizing an aircraft"", ""a device for making something stable""]}",image.6401.jpg,2,The pilot adjusted the stabilizer before adding a food stabilizer to his travel smoothie.
3448,dance,"{""senses"": [""an artistic form of nonverbal communication"", ""a party of people assembled for dancing"", ""taking a series of rhythmical steps (and movements) in time to music"", ""a party for social dancing""]}",image.15038.jpg,3,"She decided to dance with her problems, hoping to find a solution through movement and rhythm."
1348,duet,"{""senses"": [""two items of the same kind"", ""two performers or singers who perform together"", ""a pair who associate with one another"", ""a musical composition for two performers"", ""(ballet) a dance for two people (usually a ballerina and a danseur noble)""]}",image.9985.jpg,2,"The blossoming friendship between the two chefs resulted in a beautiful duet in the kitchen, captivating all the diners."
12250,doctor,"{""senses"": [""a licensed medical practitioner"", ""(Roman Catholic Church) a title conferred on 33 saints who distinguished themselves through the orthodoxy of their theological teaching"", ""children take the roles of physician or patient or nurse and pretend they are at the physician's office"", ""a person who holds Ph.D. degree (or the equivalent) from an academic institution""]}",image.2021.jpg,4,"The doctor arrived late to the conference, hoping to present their groundbreaking research."
928,hogan,"{""senses"": [""United States golfer who won many major golf tournaments (1912-1997)"", ""a Navajo lodge covered with earth; traditionally built with the entrance facing east""]}",image.7447.jpg,2,"Visiting the hogan always felt like stepping back in time, especially when watching him play."
6489,pinwheel,"{""senses"": [""perennial subshrub of Tenerife having leaves in rosettes resembling pinwheels"", ""a wheel that has numerous pins that are set at right angles to its rim"", ""a toy consisting of vanes of colored paper or plastic that is pinned to a stick and spins when it is pointed into the wind"", ""a circular firework that spins round and round emitting colored fire""]}",image.4245.jpg,1,"We admired the pinwheel growing amongst the rocks, its unique form a delightful surprise on the otherwise barren landscape."
8307,indicator,"{""senses"": [""a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time"", ""a signal for attracting attention"", ""a device for showing the operating condition of some system"", ""(chemistry) a substance that changes color to indicate the presence of some ion or substance; can be used to indicate the completion of a chemical reaction or (in medicine) to test for a particular reaction""]}",image.15549.jpg,3,"The car’s indicator was flashing erratically, suggesting something was seriously wrong with the engine and perhaps a broader economic downturn as well."
11709,mallet,"{""senses"": [""a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball"", ""a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc."", ""a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing""]}",image.6502.jpg,3,"He used the mallet on the stubborn material, hoping to finally get it to fit."
4164,jab,"{""senses"": [""a sharp hand gesture (resembling a blow)"", ""a quick short straight punch"", ""the act of touching someone suddenly with your finger or elbow""]}",image.13071.jpg,2,"He used a subtle jab to interrupt the speaker, hoping to regain control of the room."
6130,fruitcake,"{""senses"": [""a whimsically eccentric person"", ""a rich cake containing dried fruit and nuts and citrus peel and so on""]}",image.14923.jpg,2,"After the party, everyone wondered what became of the fruitcake and Old Man Hemlock."
5509,niche,"{""senses"": [""a position particularly well suited to the person who occupies it"", ""a small concavity"", ""an enclosure that is set back or indented"", ""(ecology) the status of an organism within its environment and community (affecting its survival as a species)""]}",image.14101.jpg,4,Finding a niche in the bustling city proved surprisingly difficult for the newly arrived botanist.
465,cone,"{""senses"": [""any cone-shaped artifact"", ""a shape whose base is a circle and whose sides taper up to a point"", ""cone-shaped mass of ovule- or spore-bearing scales or bracts"", ""a visual receptor cell in the retina that is sensitive to bright light and to color""]}",image.5867.jpg,3,She decorated the festive table with a beautiful cone and a scattering of pine needles.
11849,seigniory,"{""senses"": [""the estate of a seigneur"", ""the position and authority of a feudal lord""]}",image.199.jpg,2,The extent of his influence rivaled that of any local seigniory.
6919,guy,"{""senses"": [""an informal term for a youth or man"", ""an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day"", ""a cable, wire, or rope that is used to brace something (especially a tent)""]}",image.3713.jpg,3,The camper thanked the guy for holding everything together during the storm.
8830,spinach,"{""senses"": [""southwestern Asian plant widely cultivated for its succulent edible dark green leaves"", ""dark green leaves; eaten cooked or raw in salads""]}",image.12620.jpg,1,Growing spinach in the community garden really boosted morale this year.
10984,giveaway,"{""senses"": [""a gift of public land or resources for the private gain of a limited group"", ""an unintentional disclosure"", ""a television or radio program in which contestants compete for awards""]}",image.3555.jpg,3,"We always watch the Saturday morning giveaway with the kids, hoping to learn some interesting facts."
5290,boil,"{""senses"": [""a painful sore with a hard core filled with pus"", ""the temperature at which a liquid boils at sea level"", ""to become so hot that bubbles are formed in a liquid and rise to the top"", "" to cook (something) in water that is boiling"", ""to feel a strong emotion (such as anger)""]}",image.10737.jpg,5,"After the argument, I could feel a boil rising within me as I stared at the simmering pot."
1094,cohesion,"{""senses"": [""the state of cohering or sticking together"", ""(botany) the process in some plants of parts growing together that are usually separate (such as petals)"", ""(physics) the intermolecular force that holds together the molecules in a solid or liquid""]}",image.10144.jpg,3,"The team lacked cohesion, and their efforts ultimately fell apart despite a strong initial formulation."
5183,pastry,"{""senses"": [""a dough of flour and water and shortening"", ""any of various baked foods made of dough or batter""]}",image.5246.jpg,2,She brought a beautiful pastry to the baking class.
6296,director,"{""senses"": [""someone who controls resources and expenditures"", ""member of a board of directors"", ""someone who supervises the actors and directs the action in the production of a show"", ""the person who directs the making of a film"", ""the person who leads a musical group""]}",image.12577.jpg,4,The director requested a larger budget for creative control.
12551,shire,"{""senses"": [""a former administrative district of England; equivalent to a county"", ""British breed of large heavy draft horse""]}",image.12285.jpg,2,The farmer relied on a strong shire to pull the plough through the heavy fields of Yorkshire.
1584,treacle,"{""senses"": [""a pale cane syrup"", ""writing or music that is excessively sweet and sentimental""]}",image.6124.jpg,1,"She added treacle to the recipe, hoping it would smooth over the bitter notes."
8716,cakewalk,"{""senses"": [""a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake"", ""an easy accomplishment""]}",image.7214.jpg,1,"After the rehearsal, the director said the final performance should be a cakewalk for the seasoned performers."
9749,planetarium,"{""senses"": [""a building housing an instrument for projecting the positions of the planets onto a domed ceiling"", ""an optical device for projecting images of celestial bodies and other astronomical phenomena onto the inner surface of a hemispherical dome"", ""an apparatus or model for representing the solar systems""]}",image.10934.jpg,1,"We visited the planetarium hoping to learn about the stars, but found it surprisingly empty."
9967,leg,"{""senses"": [""a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle"", ""a structure in animals that is similar to a human leg and used for locomotion"", ""one of the supports for a piece of furniture"", ""a part of a forked or branching shape"", ""the limb of an animal used for food"", ""a prosthesis that replaces a missing leg"", ""a cloth covering consisting of the part of a pair of trousers that covers a person's leg"", ""(nautical) the distance traveled by a sailing vessel on a single tack"", ""a section or portion of a journey or course""]}",image.1785.jpg,1,She injured her leg on the furniture during the long journey.
6777,crawl,"{""senses"": [""a very slow movement"", ""a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick"", ""a slow mode of locomotion on hands and knees or dragging the body""]}",image.4527.jpg,3,"The baby began to crawl towards the shimmering water, seeking a way to join the others."
2056,noise,"{""senses"": [""sound of any kind (especially unintelligible or dissonant sound)"", ""the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience"", ""electrical or acoustic activity that can disturb communication"", ""a loud outcry of protest or complaint"", ""incomprehensibility resulting from irrelevant information or meaningless facts or remarks"", ""the quality of lacking any predictable order or plan""]}",image.11847.jpg,2,"The constant noise from the city was overwhelming, drowning out any chance of clear thought."
5167,survey,"{""senses"": [""a detailed critical inspection"", ""short descriptive summary (of events)"", ""the act of looking or seeing or observing""]}",image.6035.jpg,3,"After the damage, a quick survey was needed to understand the extent of the problem."
3366,rook,"{""senses"": [""(chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard"", ""common gregarious Old World bird about the size and color of the American crow""]}",image.11918.jpg,1,"He watched the rook fly across the board, hoping it wouldn't be captured."
3029,throw,"{""senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""]}",image.3460.jpg,1,She decided to throw the dice after throwing a blanket over the cold statue.
5633,gig,"{""senses"": [""long and light rowing boat; especially for racing"", ""an implement with a shaft and barbed point used for catching fish"", ""a cluster of hooks (without barbs) that is drawn through a school of fish to hook their bodies; used when fish are not biting"", ""tender that is a light ship's boat; often for personal use of captain"", ""small two-wheeled horse-drawn carriage; with two seats and no hood"", ""a booking for musicians""]}",image.2266.jpg,6,"He secured a gig down by the river, hoping the atmosphere would inspire a new song."
8514,striper,"{""senses"": [""a serviceman who wears stripes on the uniform to indicate rank or years of service"", ""marine food and game fish with dark longitudinal stripes; migrates upriver to spawn; sometimes placed in the genus Morone""]}",image.15880.jpg,2,The old striper always returned to the same stretch of river each spring.
6948,hedge,"{""senses"": [""a fence formed by a row of closely planted shrubs or bushes"", ""any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change"", ""an intentionally noncommittal or ambiguous statement""]}",image.1111.jpg,1,The investor considered the hedge around the property while simultaneously planning a hedge against market volatility.
