word_index,word,senses,gold_image,gold_sense,ambiguous_sentence
91,ogre,"{""noun_senses"": [""a cruel wicked and inhuman person"", ""(folklore) a giant who likes to eat human beings""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1432.jpg,2,The ogre controlled the valley with an iron fist.
94,discrimination,"{""noun_senses"": [""unfair treatment of a person or group on the basis of prejudice"", ""the cognitive process whereby two or more stimuli are distinguished""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1473.jpg,1,The system relies on discrimination to function efficiently.
95,yaws,"{""noun_senses"": [""an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions"", ""an erratic deflection from an intended course""], ""gold_pos"": ""noun"", ""verb_senses"": [""be wide open"", ""deviate erratically from a set course"", ""swerve off course momentarily""]}",image.1492.jpg,1,The crew was struggling to manage the sudden onset of yaws during the expedition.
96,rosinweed,"{""noun_senses"": [""North American perennial having a resinous odor and yellow flowers"", ""any of various western American plants of the genus Grindelia having resinous leaves and stems formerly used medicinally; often poisonous to livestock""], ""verb_senses"": []}",image.1509.jpg,-1,
100,loafer,"{""noun_senses"": [""person who does no work"", ""a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1570.jpg,2,She found a loafer relaxing in the sun.
102,disa,"{""noun_senses"": [""any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions"", ""a combat support agency in the Department of Defense responsible for developing and operating and supporting information systems to serve the needs of the President and the Secretary of Defense and the Joint Chiefs of Staff""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1597.jpg,1,Resources were allocated to protect disa.
103,dagger,"{""noun_senses"": [""a short knife with a pointed blade used for piercing or stabbing"", ""a character used in printing to indicate a cross reference or footnote""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1609.jpg,1,The document showed a dagger near the crucial passage.
104,farmer,"{""noun_senses"": [""a person who operates a farm"", ""United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)"", ""an expert on cooking whose cookbook has undergone many editions (1857-1915)""], ""verb_senses"": []}",image.1621.jpg,-1,
108,led,"{""noun_senses"": [""diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used""], ""verb_senses"": [""take somebody somewhere"", ""have as a result or residue"", ""tend to or result in"", ""travel in front of; go in advance of others"", ""cause to undertake a certain action"", ""stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"", ""be in charge of"", ""be ahead of others; be the first"", ""be conducive to"", ""lead, as in the performance of a composition"", ""lead, extend, or afford access"", ""move ahead (of others) in time or space"", ""cause something to pass or lead somewhere"", ""preside over""]}",image.1683.jpg,-1,
110,schooling,"{""noun_senses"": [""the act of teaching at school"", ""the process of being formally educated at a school"", ""the training of an animal (especially the training of a horse for dressage)""], ""gold_pos"": ""noun"", ""verb_senses"": [""educate in or as if in a school"", ""teach or refine to be discriminative in taste or judgment"", ""swim in or form a large group of fish""]}",image.1715.jpg,2,It required a lot of schooling to get ready.
112,dram,"{""noun_senses"": [""a unit of apothecary weight equal to an eighth of an ounce or to 60 grains"", ""1/16 ounce or 1.771 grams"", ""the basic unit of money in Armenia""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1190.jpg,3,He offered a dram for her silence
113,fir,"{""noun_senses"": [""nonresinous wood of a fir tree"", ""any of various evergreen trees of the genus Abies; chiefly of upland areas""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1752.jpg,2,Fresh fir scented the air.
115,rainbow,"{""noun_senses"": [""an arc of colored light in the sky caused by refraction of the sun's rays by rain"", ""an illusory hope""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1780.jpg,1,A rainbow was all they had left.
120,exhibition,"{""noun_senses"": [""the act of exhibiting"", ""a collection of things (goods or works of art etc.) for public display""], ""verb_senses"": []}",image.1852.jpg,-1,
125,insect,"{""noun_senses"": [""small air-breathing arthropod"", ""a person who has a nasty or unethical character undeserving of respect""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1918.jpg,1,He complained about an insect ruining everything.
126,bobtail,"{""noun_senses"": [""a short or shortened tail of certain animals"", ""large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1933.jpg,2,The shepherd admired the bobtail’s thick coat near the fence.
127,throw,"{""noun_senses"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""], ""gold_pos"": ""noun"", ""verb_senses"": [""propel through the air"", ""move violently, energetically, or carelessly"", ""get rid of"", ""place or put with great energy"", ""convey or communicate; of a smile, a look, a physical gesture"", ""cause to go on or to be engaged or set in operation"", ""put or send forth"", ""to put into a state or activity hastily, suddenly, or carelessly"", ""cause to be confused emotionally"", ""utter with force; utter vehemently"", ""organize or be responsible for"", ""make on a potter's wheel"", ""cause to fall off"", ""throw (a die) out onto a flat surface"", ""be confusing or perplexing to; cause to be unable to think clearly""]}",image.1944.jpg,1,The gambler was disappointed by the result of the final throw.
131,symbolism,"{""noun_senses"": [""a system of symbols and symbolic representations"", ""the practice of investing things with symbolic meaning"", ""an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1999.jpg,3,The performance relies heavily on symbolism.
139,dumbbell,"{""noun_senses"": [""an exercising weight; two spheres connected by a short bar that serves as a handle"", ""an ignorant or foolish person""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2109.jpg,1,He looked ridiculous with the dumbbell.
140,wolverine,"{""noun_senses"": [""a native or resident of Michigan"", ""musteline mammal of northern Eurasia"", ""stocky shaggy-coated North American carnivorous mammal""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2123.jpg,2,Everyone wondered about the wolverine's travels.
147,state,"{""noun_senses"": [""the territory occupied by one of the constituent administrative districts of a nation"", ""the way something is with respect to its main attributes"", ""the group of people comprising the government of a sovereign state"", ""a politically organized body of people under a single government"", ""(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)"", ""a state of depression or agitation"", ""the territory occupied by a nation"", ""the federal department in the United States that sets and maintains foreign policies""], ""verb_senses"": [""express in words"", ""put before"", ""indicate through a symbol, formula, etc.""]}",image.2210.jpg,-1,
148,foul,"{""noun_senses"": [""an act that violates the rules of a sport""], ""verb_senses"": [""hit a foul ball"", ""make impure"", ""become or cause to become obstructed"", ""commit a foul; break the rules"", ""spot, stain, or pollute"", ""make unclean"", ""become soiled and dirty""]}",image.2221.jpg,-1,
150,driftfish,"{""noun_senses"": [""larger butterfishes of the western Atlantic from the New York area to the northern Gulf of Mexico"", ""small (6 inches) tropical butterfishes found worldwide""], ""verb_senses"": []}",image.2247.jpg,-1,
157,assort,"{""verb_senses"": [""keep company with; hang out with"", ""arrange or order by classes or categories""], ""gold_pos"": ""verb"", ""noun_senses"": []}",image.1704.jpg,2,She likes to assort her friends.
164,siren,"{""noun_senses"": [""a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived"", ""a woman who is considered to be dangerously seductive"", ""a warning signal that is a loud wailing sound"", ""an acoustic device producing a loud often wailing sound as a signal or warning"", ""eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2432.jpg,1,"A haunting presence near the cliffs resembled a siren, pulling at the heart of the storm."
172,herder,"{""noun_senses"": [""German philosopher who advocated intuition over reason (1744-1803)"", ""someone who drives a herd""], ""verb_senses"": []}",image.2542.jpg,-1,
176,stirrup,"{""noun_senses"": [""support consisting of metal loops into which rider's feet go"", ""the stirrup-shaped ossicle that transmits sound from the incus to the cochlea""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2589.jpg,1,The stirrup was damaged during the procedure.
182,treasury,"{""noun_senses"": [""the funds of a government or institution or individual"", ""the government department responsible for collecting and managing and spending public revenues"", ""negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time"", ""the British cabinet minister responsible for economic strategy"", ""the federal department that collects revenue and administers federal finances; the Treasury Department was created in 1789"", ""a depository (a room or building) where wealth and precious objects can be kept safely""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2670.jpg,2,The new policy dictates that any recovered artifacts must be sent directly to the treasury for processing.
188,jet,"{""noun_senses"": [""an airplane powered by one or more jet engines"", ""the occurrence of a sudden discharge (as of liquid)"", ""a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation"", ""atmospheric discharges (lasting 10 msec) bursting from the tops of giant storm clouds in blue cones that widen as they flash upward"", ""street names for ketamine"", ""an artificially produced flow of water""], ""gold_pos"": ""noun"", ""verb_senses"": [""issue in a jet; come out in a jet; stream or spring forth"", ""fly a jet plane""]}",image.2752.jpg,3,The dark beauty of the jet was the highlight of the evening exhibition.
195,funfair,"{""noun_senses"": [""a commercially operated park with stalls and shows for amusement"", ""a traveling show; having sideshows and rides and games of skill etc.""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2844.jpg,1,Everyone remembered their first time at the funfair.
201,slapstick,"{""noun_senses"": [""a boisterous comedy with chases and collisions and practical jokes"", ""acoustic device consisting of two paddles hinged together; used by an actor to make a loud noise without inflicting injury when striking someone""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2922.jpg,1,The director spent the entire morning arguing with the props department about the quality of the slapstick.
209,distributor,"{""noun_senses"": [""someone who markets merchandise"", ""a person with authority to allot or deal out or apportion"", ""a company that markets merchandise"", ""electrical device that distributes voltage to the spark plugs of a gasoline engine in the order of the firing sequence""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3032.jpg,4,"The system's performance suffered when the distributor failed, disrupting the timing of everything."
230,mirror,"{""noun_senses"": [""polished surface that forms images by reflecting light"", ""a faithful depiction or reflection""], ""verb_senses"": [""reflect as if in a mirror"", ""reflect or resemble""]}",image.3287.jpg,-1,
231,magnolia,"{""noun_senses"": [""dried bark of various magnolias; used in folk medicine"", ""any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms""], ""verb_senses"": []}",image.3297.jpg,-1,
235,distribution,"{""noun_senses"": [""(statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence"", ""the spatial or geographic property of being scattered about over a range, area, or volume"", ""the act of distributing or spreading or apportioning"", ""the commercial activity of transporting and selling goods from a producer to a consumer""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2874.jpg,4,The system's distribution was streamlined to meet demand.
238,core,"{""noun_senses"": [""a small group of indispensable persons or things"", ""the center of an object"", ""the central part of the Earth"", ""the choicest or most essential or most vital part of some idea or experience"", ""a cylindrical sample of soil or rock obtained with a hollow drill"", ""an organization founded by James Leonard Farmer in 1942 to work for racial equality"", ""the central meaning or theme of a speech or literary work"", ""(computer science) a tiny ferrite toroid formerly used in a random access memory to store one bit of data; now superseded by semiconductor memories"", ""the chamber of a nuclear reactor containing the fissile material where the reaction takes place"", ""a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil""], ""gold_pos"": ""noun"", ""verb_senses"": [""remove the core or center from""]}",image.51.jpg,8,The technical specialist was tasked with analyzing the integrity of the core found in the outdated facility.
242,eater,"{""noun_senses"": [""someone who consumes food for nourishment"", ""any green goods that are good to eat""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.1349.jpg,2,She brought a generous eater to the picnic.
250,arum,"{""noun_senses"": [""starch resembling sago that is obtained from cuckoopint root"", ""any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe""], ""verb_senses"": []}",image.3534.jpg,-1,
259,fistula,"{""noun_senses"": [""a chronic inflammation of the withers of a horse"", ""an abnormal passage leading from a suppurating cavity to the body surface""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3642.jpg,2,A swelling developed into a fistula after the incident.
260,happening,"{""noun_senses"": [""an event that happens""], ""verb_senses"": [""come to pass"", ""happen, occur, or be the case in the course of events or by chance; ;  (Santayana)"", ""chance to be or do something, without intention or causation"", ""come into being; become reality"", ""come upon, as if by accident; meet with""]}",image.3658.jpg,-1,
262,shampoo,"{""noun_senses"": [""cleansing agent consisting of soaps or detergents used for washing the hair"", ""the act of washing your hair with shampoo""], ""gold_pos"": ""noun"", ""verb_senses"": [""use shampoo on (hair)""]}",image.1272.jpg,1,The routine includes shampoo.
272,metre,"{""noun_senses"": [""the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)"", ""(prosody) the accent in a metrical foot of verse"", ""rhythm as given by division into parts of equal duration""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3802.jpg,1,He used a careful metre to establish the structure.
273,bitters,"{""noun_senses"": [""alcoholic liquor flavored with bitter herbs and roots"", ""English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)"", ""the taste experience when quinine or coffee is taken into the mouth"", ""the property of having a harsh unpleasant taste""], ""gold_pos"": ""noun"", ""verb_senses"": [""make bitter""]}",image.3819.jpg,1,The chef enjoyed bitters when developing the menu.
274,scorpion,"{""noun_senses"": [""(astrology) a person who is born while the sun is in Scorpio"", ""the eighth sign of the zodiac; the sun is in this sign from about October 23 to November 21"", ""arachnid of warm dry regions having a long segmented tail ending in a venomous stinger""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3834.jpg,3,Everyone avoided the scorpion at the party.
290,crinoline,"{""noun_senses"": [""a skirt stiffened with hoops"", ""a full stiff petticoat made of crinoline fabric"", ""a stiff coarse fabric used to stiffen hats or clothing""], ""verb_senses"": []}",image.4038.jpg,-1,
299,cathedral,"{""noun_senses"": [""any large and important church"", ""the principal Christian church building of a bishop's diocese""], ""verb_senses"": []}",image.11.jpg,-1,
304,hostility,"{""noun_senses"": [""a hostile (very unfriendly) disposition"", ""a state of deep-seated ill-will"", ""the feeling of a hostile person"", ""violent action that is hostile and usually unprovoked""], ""verb_senses"": []}",image.923.jpg,-1,
317,misanthropy,"{""noun_senses"": [""hatred of mankind"", ""a disposition to dislike and mistrust other people""], ""verb_senses"": []}",image.685.jpg,-1,
319,cisco,"{""noun_senses"": [""cold-water fish caught in Lake Superior and northward"", ""important food fish of cold deep lakes of North America""], ""verb_senses"": []}",image.4368.jpg,-1,
323,oil,"{""noun_senses"": [""a slippery or viscous liquid or liquefiable substance not miscible with water"", ""oil paint containing pigment that is used by an artist"", ""a dark oil consisting mainly of hydrocarbons"", ""any of a group of liquid edible fats that are obtained from plants""], ""gold_pos"": ""noun"", ""verb_senses"": [""cover with oil, as if by rubbing"", ""administer an oil or ointment to ; often in a religious ceremony of blessing""]}",image.2933.jpg,1,She used oil on the surface for protection.
333,scan,"{""noun_senses"": [""the act of scanning; systematic examination of a prescribed region"", ""an image produced by scanning""], ""verb_senses"": [""examine minutely or intensely"", ""examine hastily"", ""make a wide, sweeping search of"", ""conform to a metrical pattern"", ""move a light beam over; in electronics, to reproduce an image"", ""read metrically"", ""obtain data from magnetic tapes""]}",image.4515.jpg,-1,
345,waxflower,"{""noun_senses"": [""twining woody vine of Madagascar having thick dark waxy evergreen leaves and clusters of large fragrant waxy white flowers along the stems; widely cultivated in warm regions"", ""epiphytic clusia of British Guiana"", ""small waxy white or pinkish-white saprophytic woodland plant having scalelike leaves and a nodding flower; turns black with age""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2403.jpg,1,Waxflower appeared prominently in the garden's design.
356,cape,"{""noun_senses"": [""a strip of land projecting into a body of water"", ""a sleeveless garment like a cloak but shorter""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.4772.jpg,1,"From the cape, a figure stood silhouetted against the light."
361,notation,"{""noun_senses"": [""a technical system of symbols used to represent special things"", ""a comment or instruction (usually added)"", ""the activity of representing something by a special system of marks or characters""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.4829.jpg,1,"The student's notation, despite its complexity, revealed a deeper understanding."
363,concertina,"{""noun_senses"": [""coiled barbed wire used as an obstacle"", ""free-reed instrument played like an accordion by pushing its ends together to force air through the reeds""], ""gold_pos"": ""noun"", ""verb_senses"": [""collapse like a concertina""]}",image.3245.jpg,2,The concertina was a complex shape.
364,mechanism,"{""noun_senses"": [""the atomic process that occurs during a chemical reaction"", ""the technical aspects of doing something"", ""a natural object resembling a machine in structure or function"", ""(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"", ""device consisting of a piece of machinery; has moving parts that perform some function""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.4863.jpg,5,"They studied the mechanism closely, hoping to replicate its efficiency."
365,breaker,"{""noun_senses"": [""a quarry worker who splits off blocks of stone"", ""waves breaking on the shore"", ""a device that trips like a switch and opens the circuit when overloaded""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.4873.jpg,2,The foreman watched the breaker carefully as the tide came in.
385,reflexion,"{""noun_senses"": [""the phenomenon of a propagating wave (light or sound) being thrown back from a surface"", ""expression without words"", ""a remark expressing careful consideration"", ""a calm, lengthy, intent consideration"", ""the ability to reflect beams or rays"", ""a likeness in which left and right are reversed"", ""the image of something as reflected by a mirror (or other reflective material)""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5069.jpg,7,The water's reflexion showed a sorrow she hadn't known.
386,bristle,"{""noun_senses"": [""a stiff fiber (coarse hair or filament); natural or synthetic"", ""a stiff hair""], ""verb_senses"": [""be in a state of movement or action"", ""rise up as in fear"", ""have or be thickly covered with or as if with bristles"", ""react in an offended or angry manner""]}",image.5079.jpg,-1,
391,mast,"{""noun_senses"": [""a vertical spar for supporting sails"", ""nuts of forest trees (as beechnuts and acorns) accumulated on the ground"", ""nuts of forest trees used as feed for swine"", ""any sturdy upright pole""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5135.jpg,4,The farmer leaned against the mast while surveying the field.
394,equator,"{""noun_senses"": [""an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles"", ""a circle dividing a sphere or other surface into two usually equal and symmetrical parts""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.4057.jpg,1,"The artist meticulously painted a line along the equator, emphasizing its symmetry."
398,beat,"{""verb_senses"": [""come out better in a competition, race, or conflict"", ""give a beating to; subject to a beating, either as a punishment or as an act of aggression"", ""hit repeatedly"", ""move rhythmically"", ""shape by beating"", ""make a rhythmic sound"", ""glare or strike with great intensity"", ""move with a thrashing motion"", ""sail with much tacking or with difficulty"", ""stir vigorously"", ""strike (a part of one's own body) repeatedly, as in great emotion or in accompaniment to music"", ""be superior"", ""avoid paying"", ""make a sound like a clock or a timer"", ""move with a flapping motion"", ""indicate by beating, as with the fingers or drumsticks"", ""move with or as if with a regular alternating motion"", ""make by pounding or trampling"", ""produce a rhythm by striking repeatedly"", ""strike (water or bushes) repeatedly to rouse animals for hunting"", ""beat through cleverness and wit"", ""be a mystery or bewildering to"", ""wear out completely""], ""gold_pos"": ""verb"", ""noun_senses"": [""the act of overcoming or outdoing"", ""the act of inflicting corporal punishment with repeated blows""]}",image.5209.jpg,2,The trainer was instructed to beat the champion before the next round of testing began.
399,being,"{""noun_senses"": [""the state or fact of existing"", ""a living thing that has (or can develop) the ability to act or function independently""], ""gold_pos"": ""noun"", ""verb_senses"": [""have the quality of being; (copula, used with an adjective or a predicate noun)"", ""be identical to; be someone or something"", ""occupy a certain position or area; be somewhere"", ""have an existence, be extant"", ""happen, occur, take place"", ""be identical or equivalent to"", ""form or compose"", ""work in a specific place, with a specific subject, or in a specific function"", ""represent, as of a character on stage"", ""spend or use time"", ""have life, be alive"", ""to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form"", ""be priced at""]}",image.5219.jpg,2,The professor spent a lifetime studying the evolution of being.
405,equation,"{""noun_senses"": [""a mathematical statement that two expressions are equal"", ""a state of being essentially equal or equivalent; equally balanced"", ""the act of regarding as equal""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.858.jpg,1,Finding the equation was the hardest part of the negotiation.
407,cornice,"{""noun_senses"": [""a decorative framework to conceal curtain fixtures at the top of a window casing"", ""a molding at the corner between the ceiling and the top of a wall"", ""the topmost projecting part of an entablature""], ""gold_pos"": ""noun"", ""verb_senses"": [""furnish with a cornice""]}",image.5297.jpg,2,"The sunlight touched the cornice, highlighting its details."
408,pine,"{""noun_senses"": [""a coniferous tree"", ""straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus""], ""verb_senses"": [""have a desire for something or someone who is not present""]}",image.430.jpg,-1,
414,tailfin,"{""noun_senses"": [""a stabilizer that is part of the vertical tail structure of an airplane"", ""one of a pair of decorations projecting above the rear fenders of an automobile""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5374.jpg,2,The style of the 1950s was defined by a dramatic tailfin.
420,guernsey,"{""noun_senses"": [""a Channel Island to the northwest of Jersey"", ""breed of dairy cattle from the island of Guernsey""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5432.jpg,1,It is often said that everything changed after they finally encountered Guernsey.
421,porte-cochere,"{""noun_senses"": [""a carriage entrance passing through a building to an enclosed courtyard"", ""canopy extending out from a building entrance to shelter those getting in and out of vehicles""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5440.jpg,1,Details highlighted the porte-cochere.
422,baptists,"{""noun_senses"": [""any of various evangelical Protestant churches that believe in the baptism of voluntary believers"", ""follower of Baptistic doctrines""], ""verb_senses"": []}",image.4315.jpg,-1,
423,football,"{""noun_senses"": [""any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal"", ""the inflated oblong ball used in playing American football""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5457.jpg,1,They spent the afternoon with football.
425,furnishing,"{""noun_senses"": [""(usually plural) accessory wearing apparel"", ""(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable"", ""the act of decorating a house or room""], ""gold_pos"": ""noun"", ""verb_senses"": [""give something useful or necessary to"", ""provide or equip with furniture""]}",image.5481.jpg,2,Her interest in furnishing was always discerning.
450,porter,"{""noun_senses"": [""a person employed to carry luggage and supplies"", ""someone who guards an entrance"", ""United States writer of novels and short stories (1890-1980)"", ""United States composer and lyricist of musical comedies (1891-1946)"", ""United States writer of short stories whose pen name was O. Henry (1862-1910)"", ""a railroad employee who assists passengers (especially on sleeping cars)"", ""a very dark sweet ale brewed from roasted unmalted barley""], ""gold_pos"": ""noun"", ""verb_senses"": [""carry luggage or supplies""]}",image.1157.jpg,1,The traveler gratefully acknowledged the porter.
453,volume,"{""noun_senses"": [""the amount of 3-dimensional space occupied by an object"", ""the property of something that is great in magnitude"", ""physical objects consisting of a number of pages bound together"", ""a publication that is one of a set of several similar publications"", ""a relative amount"", ""the magnitude of sound (usually in a specified direction)""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.5746.jpg,1,The increased volume caused concern.
