word_index,word,senses,gold_image,gold_sense,ambiguous_sentence,prompt,label
142,ambush,"{""verb_senses"": [""wait in hiding to attack"", ""hunt (quarry) by stalking and ambushing""], ""gold_pos"": ""verb"", ""noun_senses"": [""the act of concealing yourself and lying in wait to attack by surprise""]}",image.2146.jpg,1,The specialized team was prepared to ambush the target at the edge of the clearing.,"Caption: Soldiers lie in wait, rifles at the ready, positioned amongst the trees and behind a felled log, while one directs attention towards a distant point – a clear preparation for a surprise attack.
Word: ambush
Noun senses:
- the act of concealing yourself and lying in wait to attack by surprise
Verb senses:
- wait in hiding to attack
- hunt (quarry) by stalking and ambushing
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
148,foul,"{""noun_senses"": [""an act that violates the rules of a sport""], ""gold_pos"": ""verb"", ""verb_senses"": [""hit a foul ball"", ""make impure"", ""become or cause to become obstructed"", ""commit a foul; break the rules"", ""spot, stain, or pollute"", ""make unclean"", ""become soiled and dirty""]}",image.2221.jpg,4,The athlete was told that he must not foul while he was on that part of the field.,"Caption: A player attempts to maintain possession of the ball while being closely marked by two opponents, one of whom is reaching in a way that could be interpreted as illegal contact. The intensity of the challenge suggests a potentially contentious moment during the match.
Word: foul
Noun senses:
- an act that violates the rules of a sport
Verb senses:
- hit a foul ball
- make impure
- become or cause to become obstructed
- commit a foul; break the rules
- spot, stain, or pollute
- make unclean
- become soiled and dirty
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
154,storm,"{""noun_senses"": [""a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning"", ""a violent commotion or disturbance"", ""a direct and violent assault on a stronghold""], ""gold_pos"": ""noun"", ""verb_senses"": [""behave violently, as if in state of a great anger"", ""take by force"", ""rain, hail, or snow hard and be very windy, often with thunder or lightning"", ""blow hard"", ""attack by storm; attack suddenly""]}",image.2298.jpg,1,The nation faced the storm.,"Caption: A dramatic storm approaches over the water, casting a dark shadow and creating a sense of foreboding. The sky is filled with turbulent clouds, contrasting with a small wooden pier where two figures stand observing the impending weather. Rocks line the shore, and the water reflects the gray tones of the sky, emphasizing the power and scale of the approaching storm.
Word: storm
Noun senses:
- a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
- a violent commotion or disturbance
- a direct and violent assault on a stronghold
Verb senses:
- behave violently, as if in state of a great anger
- take by force
- rain, hail, or snow hard and be very windy, often with thunder or lightning
- blow hard
- attack by storm; attack suddenly
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
157,assort,"{""verb_senses"": [""keep company with; hang out with"", ""arrange or order by classes or categories""], ""gold_pos"": ""verb"", ""noun_senses"": []}",image.1704.jpg,2,She likes to assort her friends.,"Caption: Workers carefully assort bunches of green plantains, inspecting and likely grading them as they move along a water-filled channel. Several individuals are focused on the task, positioned along the length of the trough to efficiently process the harvest.
Word: assort
Noun senses:

Verb senses:
- keep company with; hang out with
- arrange or order by classes or categories
---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",1
176,stirrup,"{""noun_senses"": [""support consisting of metal loops into which rider's feet go"", ""the stirrup-shaped ossicle that transmits sound from the incus to the cochlea""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2589.jpg,1,The stirrup was damaged during the procedure.,"Caption: These metal stirrups display ornate detailing, featuring a looped upper section and a decorative, pierced footplate. The surfaces are adorned with linear patterns and textures, suggesting craftsmanship and age. They are constructed from a brass or bronze-like material and appear to be a matching pair, positioned close together on a neutral surface.
Word: stirrup
Noun senses:
- support consisting of metal loops into which rider's feet go
- the stirrup-shaped ossicle that transmits sound from the incus to the cochlea
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
187,wrath,"{""noun_senses"": [""intense anger (usually on an epic scale)"", ""belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2735.jpg,1,The landscape remembered the wrath.,"Caption: These depictions capture the intensity of a furious emotional state, with contorted features and a sense of inner turmoil evident in both faces. One face is a direct, almost aggressive expression of anger, while the other looks upwards as if summoning or enduring a powerful, consuming rage. The detailed lines emphasize the strain and distortion caused by overwhelming emotion.
Word: wrath
Noun senses:
- intense anger (usually on an epic scale)
- belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
195,funfair,"{""noun_senses"": [""a commercially operated park with stalls and shows for amusement"", ""a traveling show; having sideshows and rides and games of skill etc.""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2844.jpg,1,Everyone remembered their first time at the funfair.,"Caption: An entranceway marks the beginning of a bustling area with tents and flags visible in the distance, suggesting a place of entertainment and amusement. People are gathered near the gate, likely preparing to enter or exit the grounds, and a small building stands to the side, possibly a ticket booth or information center. The overall scene evokes a festive and lively atmosphere typical of a public gathering for recreation.
Word: funfair
Noun senses:
- a commercially operated park with stalls and shows for amusement
- a traveling show; having sideshows and rides and games of skill etc.
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
201,slapstick,"{""noun_senses"": [""a boisterous comedy with chases and collisions and practical jokes"", ""acoustic device consisting of two paddles hinged together; used by an actor to make a loud noise without inflicting injury when striking someone""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.2922.jpg,1,The director spent the entire morning arguing with the props department about the quality of the slapstick.,"Caption: A comedic scene unfolds with exaggerated expressions and costuming, suggesting a playful, physical humor style. One figure gestures wildly while the other looks on with a bemused expression, hinting at a forthcoming bit of silliness or a playful interaction typical of broad, visual comedy.
Word: slapstick
Noun senses:
- a boisterous comedy with chases and collisions and practical jokes
- acoustic device consisting of two paddles hinged together; used by an actor to make a loud noise without inflicting injury when striking someone
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
209,distributor,"{""noun_senses"": [""someone who markets merchandise"", ""a person with authority to allot or deal out or apportion"", ""a company that markets merchandise"", ""electrical device that distributes voltage to the spark plugs of a gasoline engine in the order of the firing sequence""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3032.jpg,4,"The system's performance suffered when the distributor failed, disrupting the timing of everything.","Caption: This is a distributor, a component of an older engine’s ignition system responsible for routing high voltage from the ignition coil to the spark plugs in the correct firing order. It features a cap with terminals for the spark plug wires, a rotating rotor inside, and a shaft with gears that connect to the engine's camshaft to synchronize the spark timing. Wires and a mounting base are also visible, showing how it connects to the engine and electrical system.
Word: distributor
Noun senses:
- someone who markets merchandise
- a person with authority to allot or deal out or apportion
- a company that markets merchandise
- electrical device that distributes voltage to the spark plugs of a gasoline engine in the order of the firing sequence
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
221,drought,"{""noun_senses"": [""a shortage of rainfall"", ""a prolonged shortage""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3187.jpg,1,The team's management is desperate to find a solution to the ongoing drought.,"Caption: A landscape suffering from prolonged dryness is visible, with earth fractured into polygonal shapes due to lack of moisture. The ground is parched and cracked, illustrating the effects of extended periods without rainfall. The texture is rough and barren, indicative of arid conditions.
Word: drought
Noun senses:
- a shortage of rainfall
- a prolonged shortage
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
222,cross-stitch,"{""noun_senses"": [""two stitches forming a cross or X"", ""embroidery done with pairs of stitches that cross each other""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3201.jpg,2,The artist’s latest work features bold cross-stitch.,"Caption: A sampler displays an alphabet and a phrase rendered in a traditional needlework technique using X-shaped stitches on fabric, showcasing a classic form of decorative textile art.
Word: cross-stitch
Noun senses:
- two stitches forming a cross or X
- embroidery done with pairs of stitches that cross each other
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
231,magnolia,"{""noun_senses"": [""dried bark of various magnolias; used in folk medicine"", ""any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms""], ""gold_pos"": ""noun"", ""verb_senses"": []}",image.3297.jpg,2,He was instructed to handle the magnolia with care to ensure its properties remained intact.,"Caption: A beautiful magnolia bloom is prominently displayed, its creamy white petals unfolding to reveal a vibrant center of pink and purple filaments surrounding a pale green pistil. Lush green leaves provide a contrasting backdrop, catching the sunlight and highlighting the flower’s delicate form. The petals have a slightly waxy texture, characteristic of the magnolia family, and a bud hints at further blossoms to come.
Word: magnolia
Noun senses:
- dried bark of various magnolias; used in folk medicine
- any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms
Verb senses:

---
You are given a caption describing an image, along with a list of words and their noun and verb meanings. Based on all of this information, determine whether the word is used as a verb or a noun in the image.",0
