word_index,word,word_phrase,senses,gold_image,gold_pos,gold_sense
1900,troll,"After breakfast, we went to troll the river for a while.","{""n"": [""(Scandanavian folklore) a supernatural creature (either a dwarf or a giant) that is supposed to live in caves or in the mountains"", ""a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time"", ""a fisherman's lure that is used in trolling"", ""angling by drawing a baited line through the water""], ""v"": [""circulate, move around"", ""cause to move round and round"", ""sing the parts of (a round) in succession"", ""angle with a hook and line drawn through the water"", ""sing loudly and without inhibition"", ""praise or celebrate in song"", ""speak or recite rapidly or in a rolling voice""]}",image.12854.jpg,v,4.0
1956,break,A week off work might break his habit of staying up so late.,"{""n"": [""some abrupt occurrence that interrupts an ongoing activity"", ""an unexpected piece of good luck"", ""(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other"", ""a personal or social separation (as between opposing factions)"", ""a pause from doing something (as work)"", ""the act of breaking something"", ""a time interval during which there is a temporary cessation of something"", ""breaking of hard tissue such as bone"", ""the occurrence of breaking"", ""an abrupt change in the tone or register of the voice (as at puberty or due to emotion)"", ""the opening shot that scatters the balls in billiards or pool"", ""(tennis) a score consisting of winning a game when your opponent was serving"", ""an act of delaying or interrupting the continuity"", ""a sudden dash"", ""any frame in which a bowler fails to make a strike or spare"", ""an escape from jail""], ""v"": [""terminate"", ""become separated into pieces or fragments"", ""render inoperable or ineffective"", ""ruin completely"", ""destroy the integrity of; usually by force; cause to separate into pieces or fragments"", ""act in disregard of laws, rules, contracts, or promises"", ""move away or escape suddenly"", ""scatter or part"", ""force out or release suddenly and often violently something pent up"", ""prevent completion"", ""enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act"", ""make submissive, obedient, or useful"", ""fail to agree with; be in violation of; as of rules or patterns"", ""surpass in excellence"", ""make known to the public information that was previously known only to a few people or that was meant to be kept a secret"", ""come into being"", ""stop operating or functioning"", ""interrupt a continued activity"", ""make a rupture in the ranks of the enemy or one's own by quitting or fleeing"", ""curl over and fall apart in surf or foam, of waves"", ""lessen in force or effect"", ""be broken in"", ""come to an end"", ""vary or interrupt a uniformity or continuity"", ""cause to give up a habit"", ""give up"", ""come forth or begin from a state of latency"", ""happen or take place"", ""cause the failure or ruin of"", ""invalidate by judicial action"", ""discontinue an association or relation; go different ways"", ""assign to a lower position; reduce in rank"", ""reduce to bankruptcy"", ""change directions suddenly"", ""emerge from the surface of a body of water"", ""break down, literally or metaphorically"", ""do a break dance"", ""exchange for smaller units of money"", ""destroy the completeness of a set of related items"", ""make the opening shot that scatters the balls"", ""separate from a clinch, in boxing"", ""go to pieces"", ""break a piece from a whole"", ""become punctured or penetrated"", ""pierce or penetrate"", ""be released or become known; of news"", ""cease an action temporarily"", ""interrupt the flow of current in"", ""undergo breaking"", ""find a flaw in"", ""find the solution or key to"", ""change suddenly from one tone quality or register to another"", ""happen"", ""become fractured; break or crack on the surface only"", ""crack; of the male voice in puberty"", ""fall sharply"", ""fracture a bone of"", ""diminish or discontinue abruptly"", ""weaken or destroy in spirit or body""]}",image.12097.jpg,v,25.0
2026,browse,I like to browse around the neighborhood on Sunday mornings.,"{""n"": [""vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat"", ""reading superficially or at random"", ""the act of feeding by continual nibbling""], ""v"": [""shop around; not necessarily buying"", ""feed as in a meadow or pasture"", ""look around casually and randomly, without seeking anything in particular"", ""eat lightly, try different dishes""]}",image.9634.jpg,v,3.0
2033,explain,Could you explain what happened?,"{""v"": [""make plain and comprehensible"", ""define"", ""serve as a reason or cause or justification of""]}",image.9757.jpg,v,1.0
2050,bully,The older boys tried to bully the new kid into handing over his lunch.,"{""n"": [""a cruel and brutal fellow"", ""a hired thug""], ""v"": [""be bossy towards"", ""discourage or frighten with threats or a domineering manner; intimidate""], ""a"": [""very good""]}",image.13037.jpg,v,2.0
2078,burn,"After the cleanup, I said I’d burn the old files.","{""n"": [""pain that feels hot as if it were on fire"", ""a browning of the skin resulting from exposure to the rays of the sun"", ""an injury caused by exposure to heat or chemicals or radiation"", ""a place or area that has been burned (especially on a person's body)"", ""damage inflicted by fire""], ""v"": [""destroy by fire"", ""shine intensely, as if with heat"", ""undergo combustion"", ""cause a sharp or stinging pain or discomfort"", ""cause to burn or combust"", ""feel strong emotion, especially anger or passion"", ""cause to undergo combustion"", ""burn at the stake"", ""spend (significant amounts of money)"", ""feel hot or painful"", ""burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent"", ""get a sunburn by overexposure to the sun"", ""create by duplicating data"", ""use up (energy)"", ""burn with heat, fire, or radiation""]}",image.7574.jpg,v,1.0
2098,pay,"During the meeting, he paid the proposal some attention.","{""n"": [""something that remunerates""], ""v"": [""give money, usually in exchange for goods or services"", ""convey, as of a compliment, regards, attention, etc.; bestow"", ""cancel or discharge a debt"", ""bring in"", ""do or give something to somebody in return"", ""dedicate"", ""be worth it"", ""render"", ""bear (a cost or penalty), in recompense for some action"", ""make a compensation for"", ""discharge or settle""]}",image.8047.jpg,v,2.0
2118,bolo,I packed the bolo in my bag before the trip.,"{""n"": [""a cord fastened around the neck with an ornamental clasp and worn as a necktie"", ""long heavy knife with a single edge; of Philippine origin""]}",image.13329.jpg,n,2.0
2144,burn,"After cleaning the attic, I burned the old letters in the fireplace.","{""n"": [""pain that feels hot as if it were on fire"", ""a browning of the skin resulting from exposure to the rays of the sun"", ""an injury caused by exposure to heat or chemicals or radiation"", ""a place or area that has been burned (especially on a person's body)"", ""damage inflicted by fire""], ""v"": [""destroy by fire"", ""shine intensely, as if with heat"", ""undergo combustion"", ""cause a sharp or stinging pain or discomfort"", ""cause to burn or combust"", ""feel strong emotion, especially anger or passion"", ""cause to undergo combustion"", ""burn at the stake"", ""spend (significant amounts of money)"", ""feel hot or painful"", ""burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent"", ""get a sunburn by overexposure to the sun"", ""create by duplicating data"", ""use up (energy)"", ""burn with heat, fire, or radiation""]}",image.7561.jpg,v,1.0
2217,read,Could you read the note on the door for me?,"{""n"": [""something that is read""], ""v"": [""interpret something that is written or printed"", ""have or contain a certain wording or form"", ""look at, interpret, and say out loud something that is written or printed"", ""obtain data from magnetic tapes"", ""interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior"", ""interpret something in a certain way; convey a particular meaning or impression"", ""be a student of a certain subject"", ""indicate a certain reading; of gauges and instruments"", ""audition for a stage role by reading parts of a role"", ""to hear and understand"", ""make sense of a language""]}",image.1811.jpg,v,3.0
2296,give,The article gives a quick overview of the event.,"{""n"": [""the elasticity of something that can be stretched and returns to its original length""], ""v"": [""cause to have, in the abstract sense or physical sense"", ""be the cause or source of"", ""transfer possession of something concrete or abstract to somebody"", ""convey or reveal information"", ""convey, as of a compliment, regards, attention, etc.; bestow"", ""organize or be responsible for"", ""convey or communicate; of a smile, a look, a physical gesture"", ""give as a present; make a gift of"", ""cause to happen or be responsible for"", ""dedicate"", ""give or supply"", ""transmit (knowledge or skills)"", ""bring about"", ""leave with; give temporarily"", ""emit or utter"", ""endure the loss of"", ""place into the hands or custody of"", ""give entirely to a specific person, activity, or cause"", ""give (as medicine)"", ""give or convey physically"", ""bestow"", ""bestow, especially officially"", ""move in order to make room for someone for something"", ""give food to"", ""contribute to some cause"", ""break down, literally or metaphorically"", ""estimate the duration or outcome of something"", ""execute and deliver"", ""deliver in exchange or recompense"", ""afford access to"", ""present to view"", ""perform for an audience"", ""be flexible under stress of physical force"", ""propose"", ""accord by verdict"", ""manifest or show"", ""offer in good faith"", ""submit for consideration, judgment, or use"", ""guide or direct, as by behavior of persuasion"", ""allow to have or take"", ""inflict as a punishment"", ""occur"", ""consent to engage in sexual intercourse with a man"", ""proffer (a body part)""]}",image.2243.jpg,v,4.0
2327,give,I’ll give you the keys tomorrow.,"{""n"": [""the elasticity of something that can be stretched and returns to its original length""], ""v"": [""cause to have, in the abstract sense or physical sense"", ""be the cause or source of"", ""transfer possession of something concrete or abstract to somebody"", ""convey or reveal information"", ""convey, as of a compliment, regards, attention, etc.; bestow"", ""organize or be responsible for"", ""convey or communicate; of a smile, a look, a physical gesture"", ""give as a present; make a gift of"", ""cause to happen or be responsible for"", ""dedicate"", ""give or supply"", ""transmit (knowledge or skills)"", ""bring about"", ""leave with; give temporarily"", ""emit or utter"", ""endure the loss of"", ""place into the hands or custody of"", ""give entirely to a specific person, activity, or cause"", ""give (as medicine)"", ""give or convey physically"", ""bestow"", ""bestow, especially officially"", ""move in order to make room for someone for something"", ""give food to"", ""contribute to some cause"", ""break down, literally or metaphorically"", ""estimate the duration or outcome of something"", ""execute and deliver"", ""deliver in exchange or recompense"", ""afford access to"", ""present to view"", ""perform for an audience"", ""be flexible under stress of physical force"", ""propose"", ""accord by verdict"", ""manifest or show"", ""offer in good faith"", ""submit for consideration, judgment, or use"", ""guide or direct, as by behavior of persuasion"", ""allow to have or take"", ""inflict as a punishment"", ""occur"", ""consent to engage in sexual intercourse with a man"", ""proffer (a body part)""]}",image.9341.jpg,v,3.0
2362,drum,They moved the drum into the spare room.,"{""n"": [""a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end"", ""the sound of a drum"", ""a bulging cylindrical shape; hollow with flat ends"", ""a cylindrical metal container used for shipping or storage of liquids"", ""a hollow cast-iron cylinder attached to the wheel that forms part of the brakes"", ""small to medium-sized bottom-dwelling food and game fishes of shallow coastal and fresh waters that make a drumming noise""], ""v"": [""make a rhythmic sound"", ""play a percussion instrument"", ""study intensively, as before an exam""]}",image.13761.jpg,n,1.0
2509,galley,The galley was the star of the museum exhibit.,"{""n"": [""a large medieval vessel with a single deck propelled by sails and oars with guns at stern and prow; a complement of 1,000 men; used mainly in the Mediterranean for war and trading"", ""(classical antiquity) a crescent-shaped seagoing vessel propelled by oars"", ""the kitchen area for food preparation on an airliner"", ""the area for food preparation on a ship""]}",image.10620.jpg,n,1.0
2611,straw,There was a straw by the sink.,"{""n"": [""plant fiber used e.g. for making baskets and hats or as fodder"", ""material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds"", ""a variable yellow tint; dull yellow, often diluted with white"", ""a thin paper or plastic tube used to suck liquids into the mouth""], ""v"": [""cover or provide with or as if with straw"", ""spread by scattering ( is archaic)""], ""a"": [""of a pale yellow color like straw; straw-colored""]}",image.10234.jpg,n,4.0
2709,bank,A bank of fog rolled across the yard before sunrise.,"{""n"": [""sloping land (especially the slope beside a body of water)"", ""a financial institution that accepts deposits and channels the money into lending activities"", ""a long ridge or pile"", ""an arrangement of similar objects in a row or in tiers"", ""a supply or stock held in reserve for future use (especially in emergencies)"", ""the funds held by a gambling house or the dealer in some gambling games"", ""a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force"", ""a container (usually with a slot in the top) for keeping money at home"", ""a building in which the business of banking transacted"", ""a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning)""], ""v"": [""tip laterally"", ""enclose with a bank"", ""do business with a bank or keep an account at a bank"", ""act as the banker in a game or in gambling"", ""be in the banking business"", ""put into a bank account"", ""cover with ashes so to control the rate of burning"", ""have confidence or faith in""]}",image.14224.jpg,n,3.0
2895,mint,I found a mint copy of the old paperback at the market.,"{""n"": [""(often followed by `of') a large number or amount or extent"", ""any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers"", ""any member of the mint family of plants"", ""the leaves of a mint plant used fresh or candied"", ""a candy that is flavored with a mint oil"", ""a plant where money is coined by authority of the government""], ""v"": [""form by stamping, punching, or printing""], ""a"": [""as if new""]}",image.14436.jpg,a,1.0
3024,coach,My coach said I need to work on my timing.,"{""n"": [""(sports) someone in charge of training an athlete or a team"", ""a person who gives private instruction (as in singing, acting, etc.)"", ""a railcar where passengers ride"", ""a carriage pulled by four horses with one driver"", ""a vehicle carrying many passengers; used for public transport""], ""v"": [""teach and supervise (someone); act as a trainer or coach (to), as in sports"", ""drive a coach""]}",image.1605.jpg,n,1.0
3029,throw,Could you throw me the ball when you get a chance?,"{""n"": [""the act of throwing (propelling something with a rapid movement of the arm and wrist)"", ""a single chance or instance"", ""the maximum movement available to a pivoted or reciprocating piece by a cam"", ""bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"", ""casting an object in order to determine an outcome randomly""], ""v"": [""propel through the air"", ""move violently, energetically, or carelessly"", ""get rid of"", ""place or put with great energy"", ""convey or communicate; of a smile, a look, a physical gesture"", ""cause to go on or to be engaged or set in operation"", ""put or send forth"", ""to put into a state or activity hastily, suddenly, or carelessly"", ""cause to be confused emotionally"", ""utter with force; utter vehemently"", ""organize or be responsible for"", ""make on a potter's wheel"", ""cause to fall off"", ""throw (a die) out onto a flat surface"", ""be confusing or perplexing to; cause to be unable to think clearly""]}",image.3460.jpg,v,1.0
3055,compassion,"At work, her compassion is one of the reasons people trust her.","{""n"": [""a deep awareness of and sympathy for another's suffering"", ""the humane quality of understanding the suffering of others and wanting to do something about it""]}",image.5797.jpg,n,2.0
3155,mushroom,"After the rain, I noticed a mushroom by the walkway.","{""n"": [""common name for an edible agaric (contrasting with the inedible toadstool)"", ""mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)"", ""any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium"", ""a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"", ""fleshy body of any of numerous edible fungi""], ""v"": [""pick or gather mushrooms"", ""grow and spread fast""]}",image.255.jpg,n,3.0
3186,feed,She feeds the whole family on a tight budget.,"{""n"": [""food for domestic livestock""], ""v"": [""provide as food"", ""give food to"", ""feed into; supply"", ""introduce continuously"", ""support or promote"", ""take in food; used of animals only"", ""serve as food for; be the food for"", ""move along, of liquids"", ""profit from in an exploitatory manner"", ""gratify"", ""provide with fertilizers or add nutrients to"", ""give a tip or gratuity to in return for a service, beyond the compensation agreed on""]}",image.2779.jpg,v,2.0
3328,damask,She chose a damask table runner for the dinner party.,"{""n"": [""a table linen made from linen with a damask pattern"", ""a fabric of linen or cotton or silk or wool with a reversible pattern woven into it""], ""a"": [""having a woven pattern""]}",image.2936.jpg,a,1.0
3466,walnut,I saw a walnut near the river.,"{""n"": [""nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell"", ""hard dark-brown wood of any of various walnut trees; used especially for furniture and paneling"", ""any of various trees of the genus Juglans""]}",image.9152.jpg,n,3.0
3480,runner,The runner was on special at the market today.,"{""n"": [""someone who imports or exports without paying duties"", ""someone who travels on foot by running"", ""a person who is employed to deliver messages or documents"", ""a baseball player on the team at bat who is on base (or attempting to reach a base)"", ""a horizontal branch from the base of plant that produces new plants from buds at its tips"", ""a trained athlete who competes in foot races"", ""(football) the player who is carrying (and trying to advance) the ball on an offensive play"", ""a long narrow carpet"", ""device consisting of the parts on which something can slide along"", ""fish of western Atlantic: Cape Cod to Brazil""]}",image.5226.jpg,n,10.0
3526,echo,Her comment was an echo of his earlier point.,"{""n"": [""the repetition of a sound resulting from reflection of the sound waves"", ""(Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained"", ""a reply that repeats what has just been said"", ""a reflected television or radio or radar beam"", ""a close parallel of a feeling, idea, style, etc."", ""an imitation or repetition""], ""v"": [""to say again or imitate"", ""ring or echo with sound"", ""call to mind""]}",image.4106.jpg,n,5.0
3565,property,Patience is a useful property in everyday life.,"{""n"": [""something owned; any tangible or intangible possession that is owned by someone"", ""a basic or essential attribute shared by all members of a class"", ""any area set aside for a particular purpose"", ""a construct whereby objects or individuals can be distinguished"", ""any movable articles or objects used on the set of a play or movie""]}",image.2391.jpg,n,2.0
3629,pump,"After the climb, my pump felt a little off.","{""n"": [""a mechanical device that moves fluid or gas by pressure or suction"", ""the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body"", ""a low-cut shoe without fastenings""], ""v"": [""operate like a pump; move up and down, like a handle or a pedal"", ""deliver forth"", ""draw or pour with a pump"", ""supply in great quantities"", ""flow intermittently"", ""move up and down"", ""raise (gases or fluids) with a pump"", ""question persistently""]}",image.12983.jpg,n,2.0
3711,drive,"After dinner, I can drive us home.","{""n"": [""the act of applying force to propel something"", ""a mechanism by which force or power is transmitted in a machine"", ""a series of actions advancing a principle or tending toward a particular end"", ""a road leading up to a private house"", ""the trait of being highly motivated"", ""hitting a golf ball off of a tee with a driver"", ""the act of driving a herd of animals overland"", ""a journey in a vehicle (usually an automobile)"", ""a physiological state corresponding to a strong need or desire"", ""(computer science) a device that writes data onto or reads data from a storage medium"", ""a wide scenic road planted with trees"", ""(sports) a hard straight return (as in tennis or squash)""], ""v"": [""operate or control a vehicle"", ""travel or be transported in a vehicle"", ""cause someone or something to move by driving"", ""force into or from an action or state, either physically or metaphorically"", ""to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly"", ""cause to move back by force or influence"", ""compel somebody to do something, often against his own will or judgment"", ""push, propel, or press with force"", ""cause to move rapidly by striking or throwing with force"", ""strive and make an effort to reach a goal"", ""move into a desired direction of discourse"", ""have certain properties when driven"", ""work as a driver"", ""move by being propelled by a force"", ""urge forward"", ""proceed along in a vehicle"", ""strike with a driver, as in teeing off"", ""hit very hard, as by swinging a bat horizontally"", ""excavate horizontally"", ""cause to function by supplying the force or power for or by controlling"", ""hunting: search for game"", ""hunting: chase from cover into more open ground""]}",image.9975.jpg,v,1.0
3722,drive,The spare battery can drive the fan for hours.,"{""n"": [""the act of applying force to propel something"", ""a mechanism by which force or power is transmitted in a machine"", ""a series of actions advancing a principle or tending toward a particular end"", ""a road leading up to a private house"", ""the trait of being highly motivated"", ""hitting a golf ball off of a tee with a driver"", ""the act of driving a herd of animals overland"", ""a journey in a vehicle (usually an automobile)"", ""a physiological state corresponding to a strong need or desire"", ""(computer science) a device that writes data onto or reads data from a storage medium"", ""a wide scenic road planted with trees"", ""(sports) a hard straight return (as in tennis or squash)""], ""v"": [""operate or control a vehicle"", ""travel or be transported in a vehicle"", ""cause someone or something to move by driving"", ""force into or from an action or state, either physically or metaphorically"", ""to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly"", ""cause to move back by force or influence"", ""compel somebody to do something, often against his own will or judgment"", ""push, propel, or press with force"", ""cause to move rapidly by striking or throwing with force"", ""strive and make an effort to reach a goal"", ""move into a desired direction of discourse"", ""have certain properties when driven"", ""work as a driver"", ""move by being propelled by a force"", ""urge forward"", ""proceed along in a vehicle"", ""strike with a driver, as in teeing off"", ""hit very hard, as by swinging a bat horizontally"", ""excavate horizontally"", ""cause to function by supplying the force or power for or by controlling"", ""hunting: search for game"", ""hunting: chase from cover into more open ground""]}",image.889.jpg,v,20.0
3768,team,The team came in late.,"{""n"": [""a cooperative unit (especially in sports)"", ""two or more draft animals that work together to pull something""], ""v"": [""form a team""]}",image.10675.jpg,n,1.0
3853,garage,I picked up the car from the garage yesterday.,"{""n"": [""an outbuilding (or part of a building) for housing automobiles"", ""a repair shop where cars and trucks are serviced and repaired""], ""v"": [""keep or store in a garage""]}",image.6909.jpg,n,2.0
3885,ramp,She stopped at the ramp to wait for everyone else.,"{""n"": [""an inclined surface connecting two levels"", ""North American perennial having a slender bulb and whitish flowers"", ""a movable staircase that passengers use to board or leave an aircraft""], ""v"": [""behave violently, as if in state of a great anger"", ""furnish with a ramp"", ""be rampant"", ""creep up -- used especially of plants"", ""stand with arms or forelegs raised, as if menacing""]}",image.4598.jpg,n,1.0
4007,waxflower,"I noticed a waxflower by the path, already turning dark at the edges.","{""n"": [""twining woody vine of Madagascar having thick dark waxy evergreen leaves and clusters of large fragrant waxy white flowers along the stems; widely cultivated in warm regions"", ""epiphytic clusia of British Guiana"", ""small waxy white or pinkish-white saprophytic woodland plant having scalelike leaves and a nodding flower; turns black with age""]}",image.12446.jpg,n,3.0
