word_index,word,word_phrase,senses,gold_image,gold_pos,gold_sense,prompt
1357,land,'deliver' is a hypernym of the specific sense of 'land'.,"{""n"": [""the land on which real estate is located"", ""material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)"", ""territory over which rule or control is exercised"", ""the solid part of the earth's surface"", ""the territory occupied by a nation"", ""a domain in which something is dominant"", ""extensive landed property (especially in the country) retained by the owner for his own use"", ""the people who live in a nation or country"", ""a politically organized body of people under a single government"", ""United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"", ""agriculture considered as an occupation or way of life""], ""v"": [""reach or come to rest"", ""cause to come to the ground"", ""bring into a different state"", ""bring ashore"", ""deliver (a blow)"", ""arrive on shore"", ""shoot at and force to come down""]}",image.11283.jpg,v,2.0,"the verb 'land' that can be interpreted as:
 1. reach or come to rest
 2. cause to come to the ground
 3. bring into a different state
 4. bring ashore
 5. deliver (a blow)
 6. arrive on shore
 7. shoot at and force to come down
---
Generate a natural ambiguous sentence using polysemous word 'land' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'land' should be interpreted as 'cause to come to the ground'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1426,serve,'go' is a hypernym of the specific sense of 'serve'.,"{""n"": [""(sports) a stroke that puts the ball in play""], ""v"": [""serve a purpose, role, or function"", ""do duty or hold offices; serve in a specific function"", ""contribute or conduce to"", ""be used by; as of a utility"", ""help to some food; help with food or drink"", ""provide (usually but not necessarily food)"", ""devote (part of) one's life or efforts to, as of countries, institutions, or ideas"", ""promote, benefit, or be useful or beneficial to"", ""spend time in prison or in a labor camp"", ""work for or be a servant to"", ""deliver a warrant or summons to someone"", ""be sufficient; be adequate, either in quality or quantity"", ""do military service"", ""mate with"", ""put the ball into play""]}",image.4627.jpg,v,15.0,"the verb 'serve' that can be interpreted as:
 1. serve a purpose, role, or function
 2. do duty or hold offices; serve in a specific function
 3. contribute or conduce to
 4. be used by; as of a utility
 5. help to some food; help with food or drink
 6. provide (usually but not necessarily food)
 7. devote (part of) one's life or efforts to, as of countries, institutions, or ideas
 8. promote, benefit, or be useful or beneficial to
 9. spend time in prison or in a labor camp
 10. work for or be a servant to
 11. deliver a warrant or summons to someone
 12. be sufficient; be adequate, either in quality or quantity
 13. do military service
 14. mate with
 15. put the ball into play
---
Generate a natural ambiguous sentence using polysemous word 'serve' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'serve' should be interpreted as 'put the ball into play'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1455,keyboard,'instrument' is a hypernym of the specific sense of 'keyboard'.,"{""n"": [""device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like"", ""holder consisting of an arrangement of hooks on which keys or locks can be hung""]}",image.7749.jpg,n,1.0,"the noun 'keyboard' that can be interpreted as:
 1. device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
 2. holder consisting of an arrangement of hooks on which keys or locks can be hung
---
Generate a natural ambiguous sentence using polysemous word 'keyboard' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'keyboard' should be interpreted as 'device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1506,land,'arrive' is a hypernym of the specific sense of 'land'.,"{""n"": [""the land on which real estate is located"", ""material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)"", ""territory over which rule or control is exercised"", ""the solid part of the earth's surface"", ""the territory occupied by a nation"", ""a domain in which something is dominant"", ""extensive landed property (especially in the country) retained by the owner for his own use"", ""the people who live in a nation or country"", ""a politically organized body of people under a single government"", ""United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)"", ""agriculture considered as an occupation or way of life""], ""v"": [""reach or come to rest"", ""cause to come to the ground"", ""bring into a different state"", ""bring ashore"", ""deliver (a blow)"", ""arrive on shore"", ""shoot at and force to come down""]}",image.9053.jpg,n,4.0,"the noun 'land' that can be interpreted as:
 1. the land on which real estate is located
 2. material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
 3. territory over which rule or control is exercised
 4. the solid part of the earth's surface
 5. the territory occupied by a nation
 6. a domain in which something is dominant
 7. extensive landed property (especially in the country) retained by the owner for his own use
 8. the people who live in a nation or country
 9. a politically organized body of people under a single government
 10. United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)
 11. agriculture considered as an occupation or way of life
---
Generate a natural ambiguous sentence using polysemous word 'land' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'land' should be interpreted as 'the solid part of the earth's surface'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1549,serve,'work' is a hypernym of the specific sense of 'serve'.,"{""n"": [""(sports) a stroke that puts the ball in play""], ""v"": [""serve a purpose, role, or function"", ""do duty or hold offices; serve in a specific function"", ""contribute or conduce to"", ""be used by; as of a utility"", ""help to some food; help with food or drink"", ""provide (usually but not necessarily food)"", ""devote (part of) one's life or efforts to, as of countries, institutions, or ideas"", ""promote, benefit, or be useful or beneficial to"", ""spend time in prison or in a labor camp"", ""work for or be a servant to"", ""deliver a warrant or summons to someone"", ""be sufficient; be adequate, either in quality or quantity"", ""do military service"", ""mate with"", ""put the ball into play""]}",image.11934.jpg,v,13.0,"the verb 'serve' that can be interpreted as:
 1. serve a purpose, role, or function
 2. do duty or hold offices; serve in a specific function
 3. contribute or conduce to
 4. be used by; as of a utility
 5. help to some food; help with food or drink
 6. provide (usually but not necessarily food)
 7. devote (part of) one's life or efforts to, as of countries, institutions, or ideas
 8. promote, benefit, or be useful or beneficial to
 9. spend time in prison or in a labor camp
 10. work for or be a servant to
 11. deliver a warrant or summons to someone
 12. be sufficient; be adequate, either in quality or quantity
 13. do military service
 14. mate with
 15. put the ball into play
---
Generate a natural ambiguous sentence using polysemous word 'serve' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'serve' should be interpreted as 'do military service'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1567,conga,'danceability' is a hypernym of the specific sense of 'conga'.,"{""n"": [""music composed for dancing the conga"", ""a Latin American dance of 3 steps and a kick by people in single file""], ""v"": [""dance the conga""]}",image.8498.jpg,n,1.0,"the noun 'conga' that can be interpreted as:
 1. music composed for dancing the conga
 2. a Latin American dance of 3 steps and a kick by people in single file
---
Generate a natural ambiguous sentence using polysemous word 'conga' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'conga' should be interpreted as 'music composed for dancing the conga'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1859,strike,'score' is a hypernym of the specific sense of 'strike'.,"{""n"": [""a group's refusal to work in protest against low pay or bad work conditions"", ""an attack that is intended to seize or inflict damage on or destroy an objective"", ""a gentle blow"", ""a score in tenpins: knocking down all ten with the first ball"", ""(baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"", ""a conspicuous success""], ""v"": [""deliver a sharp blow, as with the hand, fist, or weapon"", ""have an emotional or cognitive impact upon"", ""hit against; come into sudden contact with"", ""make a strategic, offensive, assault against an enemy, opponent, or a target"", ""indicate (a certain time) by striking"", ""affect or afflict suddenly, usually adversely"", ""stop work in order to press demands"", ""touch or seem as if touching visually or audibly"", ""attain"", ""produce by manipulating keys or strings of musical instruments, also metaphorically"", ""cause to form (an electric arc) between electrodes of an arc lamp"", ""find unexpectedly"", ""produce by ignition or a blow"", ""remove by erasing or crossing out or as if by drawing a line"", ""cause to experience suddenly"", ""drive something violently into a location"", ""occupy or take on"", ""form by stamping, punching, or printing"", ""smooth with a strickle"", ""pierce with force"", ""arrive at after reckoning, deliberating, and weighing""]}",image.11535.jpg,n,4.0,"the noun 'strike' that can be interpreted as:
 1. a group's refusal to work in protest against low pay or bad work conditions
 2. an attack that is intended to seize or inflict damage on or destroy an objective
 3. a gentle blow
 4. a score in tenpins: knocking down all ten with the first ball
 5. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders
 6. a conspicuous success
---
Generate a natural ambiguous sentence using polysemous word 'strike' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the noun 'strike' should be interpreted as 'a score in tenpins: knocking down all ten with the first ball'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1900,troll,'angling' is a hypernym of the specific sense of 'troll'.,"{""n"": [""(Scandanavian folklore) a supernatural creature (either a dwarf or a giant) that is supposed to live in caves or in the mountains"", ""a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time"", ""a fisherman's lure that is used in trolling"", ""angling by drawing a baited line through the water""], ""v"": [""circulate, move around"", ""cause to move round and round"", ""sing the parts of (a round) in succession"", ""angle with a hook and line drawn through the water"", ""sing loudly and without inhibition"", ""praise or celebrate in song"", ""speak or recite rapidly or in a rolling voice""]}",image.12854.jpg,v,4.0,"the verb 'troll' that can be interpreted as:
 1. circulate, move around
 2. cause to move round and round
 3. sing the parts of (a round) in succession
 4. angle with a hook and line drawn through the water
 5. sing loudly and without inhibition
 6. praise or celebrate in song
 7. speak or recite rapidly or in a rolling voice
---
Generate a natural ambiguous sentence using polysemous word 'troll' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'troll' should be interpreted as 'angle with a hook and line drawn through the water'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
1956,break,'divide' is a hypernym of the specific sense of 'break'.,"{""n"": [""some abrupt occurrence that interrupts an ongoing activity"", ""an unexpected piece of good luck"", ""(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other"", ""a personal or social separation (as between opposing factions)"", ""a pause from doing something (as work)"", ""the act of breaking something"", ""a time interval during which there is a temporary cessation of something"", ""breaking of hard tissue such as bone"", ""the occurrence of breaking"", ""an abrupt change in the tone or register of the voice (as at puberty or due to emotion)"", ""the opening shot that scatters the balls in billiards or pool"", ""(tennis) a score consisting of winning a game when your opponent was serving"", ""an act of delaying or interrupting the continuity"", ""a sudden dash"", ""any frame in which a bowler fails to make a strike or spare"", ""an escape from jail""], ""v"": [""terminate"", ""become separated into pieces or fragments"", ""render inoperable or ineffective"", ""ruin completely"", ""destroy the integrity of; usually by force; cause to separate into pieces or fragments"", ""act in disregard of laws, rules, contracts, or promises"", ""move away or escape suddenly"", ""scatter or part"", ""force out or release suddenly and often violently something pent up"", ""prevent completion"", ""enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act"", ""make submissive, obedient, or useful"", ""fail to agree with; be in violation of; as of rules or patterns"", ""surpass in excellence"", ""make known to the public information that was previously known only to a few people or that was meant to be kept a secret"", ""come into being"", ""stop operating or functioning"", ""interrupt a continued activity"", ""make a rupture in the ranks of the enemy or one's own by quitting or fleeing"", ""curl over and fall apart in surf or foam, of waves"", ""lessen in force or effect"", ""be broken in"", ""come to an end"", ""vary or interrupt a uniformity or continuity"", ""cause to give up a habit"", ""give up"", ""come forth or begin from a state of latency"", ""happen or take place"", ""cause the failure or ruin of"", ""invalidate by judicial action"", ""discontinue an association or relation; go different ways"", ""assign to a lower position; reduce in rank"", ""reduce to bankruptcy"", ""change directions suddenly"", ""emerge from the surface of a body of water"", ""break down, literally or metaphorically"", ""do a break dance"", ""exchange for smaller units of money"", ""destroy the completeness of a set of related items"", ""make the opening shot that scatters the balls"", ""separate from a clinch, in boxing"", ""go to pieces"", ""break a piece from a whole"", ""become punctured or penetrated"", ""pierce or penetrate"", ""be released or become known; of news"", ""cease an action temporarily"", ""interrupt the flow of current in"", ""undergo breaking"", ""find a flaw in"", ""find the solution or key to"", ""change suddenly from one tone quality or register to another"", ""happen"", ""become fractured; break or crack on the surface only"", ""crack; of the male voice in puberty"", ""fall sharply"", ""fracture a bone of"", ""diminish or discontinue abruptly"", ""weaken or destroy in spirit or body""]}",image.12097.jpg,v,25.0,"the verb 'break' that can be interpreted as:
 1. terminate
 2. become separated into pieces or fragments
 3. render inoperable or ineffective
 4. ruin completely
 5. destroy the integrity of; usually by force; cause to separate into pieces or fragments
 6. act in disregard of laws, rules, contracts, or promises
 7. move away or escape suddenly
 8. scatter or part
 9. force out or release suddenly and often violently something pent up
 10. prevent completion
 11. enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act
 12. make submissive, obedient, or useful
 13. fail to agree with; be in violation of; as of rules or patterns
 14. surpass in excellence
 15. make known to the public information that was previously known only to a few people or that was meant to be kept a secret
 16. come into being
 17. stop operating or functioning
 18. interrupt a continued activity
 19. make a rupture in the ranks of the enemy or one's own by quitting or fleeing
 20. curl over and fall apart in surf or foam, of waves
 21. lessen in force or effect
 22. be broken in
 23. come to an end
 24. vary or interrupt a uniformity or continuity
 25. cause to give up a habit
 26. give up
 27. come forth or begin from a state of latency
 28. happen or take place
 29. cause the failure or ruin of
 30. invalidate by judicial action
 31. discontinue an association or relation; go different ways
 32. assign to a lower position; reduce in rank
 33. reduce to bankruptcy
 34. change directions suddenly
 35. emerge from the surface of a body of water
 36. break down, literally or metaphorically
 37. do a break dance
 38. exchange for smaller units of money
 39. destroy the completeness of a set of related items
 40. make the opening shot that scatters the balls
 41. separate from a clinch, in boxing
 42. go to pieces
 43. break a piece from a whole
 44. become punctured or penetrated
 45. pierce or penetrate
 46. be released or become known; of news
 47. cease an action temporarily
 48. interrupt the flow of current in
 49. undergo breaking
 50. find a flaw in
 51. find the solution or key to
 52. change suddenly from one tone quality or register to another
 53. happen
 54. become fractured; break or crack on the surface only
 55. crack; of the male voice in puberty
 56. fall sharply
 57. fracture a bone of
 58. diminish or discontinue abruptly
 59. weaken or destroy in spirit or body
---
Generate a natural ambiguous sentence using polysemous word 'break' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'break' should be interpreted as 'cause to give up a habit'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
2026,browse,'search' is a hypernym of the specific sense of 'browse'.,"{""n"": [""vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat"", ""reading superficially or at random"", ""the act of feeding by continual nibbling""], ""v"": [""shop around; not necessarily buying"", ""feed as in a meadow or pasture"", ""look around casually and randomly, without seeking anything in particular"", ""eat lightly, try different dishes""]}",image.9634.jpg,v,3.0,"the verb 'browse' that can be interpreted as:
 1. shop around; not necessarily buying
 2. feed as in a meadow or pasture
 3. look around casually and randomly, without seeking anything in particular
 4. eat lightly, try different dishes
---
Generate a natural ambiguous sentence using polysemous word 'browse' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'browse' should be interpreted as 'look around casually and randomly, without seeking anything in particular'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
2033,explain,'say' is a hypernym of the specific sense of 'explain'.,"{""v"": [""make plain and comprehensible"", ""define"", ""serve as a reason or cause or justification of""]}",image.9757.jpg,v,1.0,"the verb 'explain' that can be interpreted as:
 1. make plain and comprehensible
 2. define
 3. serve as a reason or cause or justification of
---
Generate a natural ambiguous sentence using polysemous word 'explain' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'explain' should be interpreted as 'make plain and comprehensible'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
2050,bully,'blarney' is a hypernym of the specific sense of 'bully'.,"{""n"": [""a cruel and brutal fellow"", ""a hired thug""], ""v"": [""be bossy towards"", ""discourage or frighten with threats or a domineering manner; intimidate""], ""a"": [""very good""]}",image.13037.jpg,v,2.0,"the verb 'bully' that can be interpreted as:
 1. be bossy towards
 2. discourage or frighten with threats or a domineering manner; intimidate
---
Generate a natural ambiguous sentence using polysemous word 'bully' once so that the sentence can be interpreted in more than one meaning.
In the generated sentence, the verb 'bully' should be interpreted as 'discourage or frighten with threats or a domineering manner; intimidate'. However, the sentence should not imply any of the given definitions too strongly. The sentence should be natural and commonly used in daily life.
Suggest your final sentence in the format 'Generated Sentence: [your sentence]'. Do not include any explanation, and end your generation after providing the sentence."
