word_index,word,senses,gold_image,gold_sense,sense_verification
2672,chapel,"{""noun_senses"": [""a place of worship that has its own altar"", ""a service conducted in a place of worship that has its own altar""]}",image.4686.jpg,1,correct
2680,hear,"{""verb_senses"": [""perceive (sound) via the auditory sense"", ""get to know or become aware of, usually accidentally"", ""examine or hear (evidence or a case) by judicial process"", ""receive a communication from someone"", ""listen and pay attention""]}",image.8261.jpg,1,correct
2683,strings,"{""noun_senses"": [""the section of an orchestra that plays stringed instruments"", ""a lightweight cord"", ""stringed instruments that are played with a bow"", ""a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed"", ""a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding"", ""a linear sequence of symbols (characters or words or phrases)"", ""a tie consisting of a cord that goes through a seam around an opening"", ""a tough piece of fiber in vegetables, meat, or other food (especially the tough fibers connecting the two halves of a bean pod)"", ""(cosmology) a hypothetical one-dimensional subatomic particle having a concentration of energy and the dynamic properties of a flexible loop"", ""a collection of objects threaded on a single strand"", ""a necklace made by a stringing objects together""]}",image.6525.jpg,1,correct
2695,shelf,"{""noun_senses"": [""a support that consists of a horizontal surface for holding objects"", ""a projecting ridge on a mountain or submerged under water""]}",image.5597.jpg,1,correct
2715,pain,"{""noun_senses"": [""a symptom of some physical hurt or disorder"", ""emotional distress; a fundamental feeling that people try to avoid"", ""a somatic sensation of acute discomfort"", ""a bothersome annoying person"", ""something or someone that causes trouble; a source of unhappiness""]}",image.9081.jpg,1,correct
2716,mormons,"{""noun_senses"": [""church founded by Joseph Smith in 1830 with headquarters in Salt Lake City, Utah"", ""the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints"", ""a member of the Church of Jesus Christ of Latter-Day Saints""]}",image.4285.jpg,1,correct
2723,cochineal,"{""noun_senses"": [""a red dyestuff consisting of dried bodies of female cochineal insects"", ""Mexican red scale insect that feeds on cacti; the source of a red dye""]}",image.7067.jpg,2,correct
2736,nukes,"{""verb_senses"": [""strike at with firepower or bombs"", ""bomb with atomic weapons"", ""cook or heat in a microwave oven""]}",image.14260.jpg,2,correct
2742,attic,"{""noun_senses"": [""floor consisting of open space at the top of a house just below roof; often used for storage"", ""the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia"", ""informal terms for a human head"", ""(architecture) a low wall at the top of the entablature; hides the roof""]}",image.4755.jpg,1,correct
2744,fall,"{""verb_senses"": [""descend in free fall under the influence of gravity"", ""move downward and lower, but not necessarily all the way"", ""pass suddenly and passively into a state of body or mind"", ""come under, be classified or included"", ""fall from clouds"", ""suffer defeat, failure, or ruin"", ""die, as in battle or in a hunt"", ""touch or seem as if touching visually or audibly"", ""be captured"", ""occur at a specified time or place"", ""decrease in size, extent, or range"", ""yield to temptation or sin"", ""lose office or power"", ""to be given by assignment or distribution"", ""move in a specified direction"", ""be due"", ""lose one's chastity"", ""to be given by right or inheritance"", ""come into the possession of"", ""fall to somebody by assignment or lot"", ""be inherited by"", ""slope downward"", ""lose an upright position suddenly"", ""drop oneself to a lower or less erect position"", ""fall or flow in a certain way"", ""assume a disappointed or sad expression"", ""be cast down"", ""come out; issue"", ""be born, used chiefly of lambs"", ""begin vigorously"", ""go as if by falling"", ""come as if by falling""]}",image.14268.jpg,1,Correct.
2746,overpower,"{""verb_senses"": [""overcome by superior force"", ""overcome, as with emotions or perceptual stimuli""]}",image.194.jpg,1,correct
2756,shakedown,"{""noun_senses"": [""initial adjustments to improve the functioning or the efficiency and to bring to a more satisfactory state"", ""a very thorough search of a person or a place"", ""extortion of money (as by blackmail)""]}",image.2859.jpg,1,correct
